Place,item_id,place_id
North America ,0,0
Latin America and the Caribbean ,1,1
East Asia ,2,2
East Asia ,3,3
Latin America and the Caribbean ,4,4
Latin America and the Caribbean ,5,5
World,6,6
East Asia ,7,7
East Asia ,8,8
East Asia ,9,9
East Asia ,10,10
North America ,11,11
East Asia ,12,12
North America ,13,13
Middle East and North Africa ,14,14
North America ,15,15
East Asia ,16,16
East Asia ,17,17
North America ,18,18
Latin America and the Caribbean,19,19
Central and South Asia ,20,20
World,21,21
North America ,22,22
Latin America and the Caribbean ,23,23
East Asia ,24,24
Europe ,25,25
Europe,26,26
North America ,27,27
Africa ,28,28
Africa ,29,29
Latin America and the Caribbean|North America,30,30
Europe ,31,31
Europe ,32,32
North America ,33,33
Africa ,34,34
Middle East and North Africa,35,35
Europe ,36,36
Europe,37,37
Europe ,38,38
Europe ,39,39
Europe ,40,40
Latin America and the Caribbean ,41,41
East Asia ,42,42
Europe ,43,43
Europe,44,44
Middle East and North Africa ,45,45
Latin America and the Caribbean ,46,46
Europe ,47,47
Europe,48,48
Africa ,49,49
Latin America and the Caribbean ,50,50
Africa,51,51
East Asia ,52,52
Africa,53,53
Oceania and the Pacific ,54,54
Latin America and the Caribbean ,55,55
Middle East and North Africa ,56,56
Africa ,57,57
Europe ,58,58
Europe ,59,59
Latin America and the Caribbean ,60,60
Africa,61,61
Europe ,62,62
Latin America and the Caribbean ,63,63
Europe ,64,64
Europe ,65,65
East Asia ,66,66
Europe ,67,67
Latin America and the Caribbean ,68,68
Latin America and the Caribbean ,69,69
Latin America and the Caribbean ,70,70
East Asia ,71,71
Latin America and the Caribbean ,72,72
Latin America and the Caribbean ,73,73
North America ,74,74
Europe ,75,75
Middle East and North Africa ,76,76
North America ,77,77
Southeast Asia ,78,78
Europe ,79,79
Middle East and North Africa ,80,80
Europe ,81,81
Europe ,82,82
North America ,83,83
Latin America and the Caribbean ,84,84
Europe ,85,85
Latin America and the Caribbean ,86,86
Middle East and North Africa ,87,87
North America ,88,88
Europe ,89,89
Europe ,90,90
Antarctica,91,91
Europe ,92,92
Europe ,93,93
Europe ,94,94
Europe ,95,95
Africa|Middle East and North Africa,96,96
Europe ,97,97
Central and South Asia ,98,98
Europe ,99,99
Europe ,100,100
North America ,101,101
Latin America and the Caribbean ,102,102
North America ,103,103
World,104,104
North America ,105,105
North America ,106,106
Europe ,107,107
Latin America and the Caribbean ,108,108
Middle East and North Africa ,109,109
Middle East and North Africa ,110,110
Middle East and North Africa ,111,111
Europe ,112,112
Europe ,113,113
Europe ,114,114
East Asia ,115,115
Europe ,116,116
Europe ,117,117
Europe ,118,118
East Asia ,119,119
Europe ,120,120
East Asia ,121,121
Europe ,122,122
Europe ,123,123
Europe ,124,124
Europe ,125,125
Europe ,126,126
World,127,127
East Asia ,128,128
Europe ,129,129
Latin America and the Caribbean ,130,130
Europe ,131,131
Middle East and North Africa ,132,132
Latin America and the Caribbean ,133,133
Latin America and the Caribbean ,134,134
Latin America and the Caribbean ,135,135
Europe ,136,136
North America ,137,137
Africa|Middle East and North Africa,138,138
Europe ,139,139
Central and South Asia ,140,140
Latin America and the Caribbean ,141,141
Latin America and the Caribbean ,142,142
Europe ,143,143
Middle East and North Africa ,144,144
Africa ,145,145
Middle East and North Africa ,146,146
Latin America and the Caribbean ,147,147
Europe ,148,148
Central and South Asia|Oceania and the Pacific ,149,149
Europe ,150,150
Europe ,151,151
Latin America and the Caribbean ,152,152
North America ,153,153
Central and South Asia ,154,154
North America ,155,155
Europe ,156,156
Europe ,157,157
Europe ,158,158
North America ,159,159
Europe ,160,160
World,161,161
East Asia ,162,162
Latin America and the Caribbean ,163,163
Europe ,164,164
World,165,165
Latin America and the Caribbean ,166,166
Latin America and the Caribbean|North America,167,167
East Asia ,168,168
East Asia ,169,169
East Asia ,170,170
East Asia ,171,171
East Asia ,172,172
East Asia ,173,173
World,174,174
North America ,175,175
Europe ,176,176
Europe ,177,177
