Dewey Decimal Code,genre
973,History & geography
391,Literature
912,History & geography
769.792,Literature
306.769,Literature
792,Literature
294.792,Literature
598.635,Literature
323.324,Literature
394,Literature
743.975,Literature
355,Literature
332.940,Literature
551.911,Literature
910,History & geography
915,History & geography
914,History & geography
398,Literature
796,Literature
297.966,Literature
297.340,Literature
791,Literature
304.325,Literature
340.966,Literature
940,History & geography
912.917,History & geography
623.981,Literature
093.355,Literature
327.912,Literature
911.912,History & geography
912.940,History & geography
726,Literature
281.726,Literature
981,History & geography
981.989,History & geography
372.461,Literature
932,History & geography
306.331,Literature
238.268,Literature
392,Literature
333.912,Literature
910.970,History & geography
979,History & geography
226,Literature
912.919,History & geography
912.957,History & geography
912.966,History & geography
385.957,Literature
297.745,Literature
294.726,Literature
912.972,History & geography
917,History & geography
525,Literature
306.973,Literature
529,Literature
516.681,Literature
512,Literature
294,Literature
323.973,Literature
793.914,Literature
551.912,Literature
630.912,Literature
951,History & geography
947.957,History & geography
912.946,History & geography
622,Literature
294.911,Literature
281,Literature
974,History & geography
745,Literature
230.238,Literature
271.726,Literature
363.394,Literature
495,Literature
957,History & geography
399.981,Literature
580,Literature
305.781,Literature
946.981,History & geography
725,Literature
096.769,Literature
769.821,Literature
912.975,History & geography
325.957,Literature
677.975,Literature
331.973,Literature
912.951,History & geography
918.981,History & geography
912.930,History & geography
918.973,History & geography
306.391,Literature
252.979,Literature
712.959,Literature
912.971,History & geography
391.949,Literature
911,History & geography
201.495,Literature
968,History & geography
392.914,Literature
242.264,Literature
929.941,History & geography
916,History & geography
918,History & geography
325.918,Literature
391.916,Literature
391.914,Literature
356.940,Literature
769.940,Literature
636.994,Literature
242,Literature
972,History & geography
728.917,Literature
726.914,Literature
956,History & geography
633.914,Literature
627.914,Literature
371,Literature
347.947,Literature
349.947,Literature
779.972,Literature
966,History & geography
252,Literature
491,Literature
949,History & geography
381.914,Literature
636.914,Literature
636.983,Literature
305,Literature
630.746,Literature
495.529,Literature
403.495,Literature
294.951,Literature
787.951,Literature
305.951,Literature
929.951,History & geography
633.677,Literature
728.916,Literature
728.914,Literature
959,History & geography
380.915,Literature
912.915,History & geography
242.499,Literature
403,Literature
388,Literature
391.779,Literature
839,Literature
640.705,Literature
912.947,History & geography
551,Literature
912.996,History & geography
386.914,Literature
912.948,History & geography
398.841,Literature
282.944,Literature
636.940,Literature
584.914,Literature
331.914,Literature
725.914,Literature
228,Literature
740.940,Literature
641.940,Literature
320.972,Literature
630.943,Literature
726.915,Literature
294.915,Literature
297.915,Literature
792.915,Literature
338.915,Literature
338.914,Literature
967,History & geography
338.918,Literature
385.918,Literature
709.972,Literature
945,History & geography
948,History & geography
912.914,History & geography
796.956,Literature
305.914,Literature
393.914,Literature
728.915,Literature
624.914,Literature
391.967,Literature
307.967,Literature
727.915,Literature
799.914,Literature
363,Literature
520,Literature
523,Literature
513,Literature
616,Literature
510.520,Literature
341,Literature
912.958,History & geography
912.943,History & geography
741.918,Literature
380.918,Literature
707.915,Literature
391.993,Literature
726.993,Literature
793.917,Literature
728.972,Literature
355.940,Literature
915.957,History & geography
355.947,Literature
636,Literature
947,History & geography
779.943,Literature
627.981,Literature
690,Literature
940.970,History & geography
929.972,History & geography
385.914,Literature
694,Literature
263.791,Literature
365.916,Literature
385.967,Literature
203.726,Literature
622.968,Literature
392.916,Literature
633.916,Literature
622.916,Literature
633.959,Literature
584.959,Literature
297.919,Literature
240.491,Literature
636.916,Literature
305.391,Literature
664.949,Literature
962,History & geography
381,Literature
338.779,Literature
779.949,Literature
958,History & geography
320.340,Literature
841,Literature
840,Literature
737,Literature
281.729,Literature
355.912,Literature
391.915,Literature
725.915,Literature
583.914,Literature
712.914,Literature
730.914,Literature
694.914,Literature
729.914,Literature
264.782,Literature
946,History & geography
920.942,History & geography
917.946,History & geography
821,Literature
784,Literature
945.946,History & geography
296.745,Literature
496,Literature
910.966,History & geography
749.944,Literature
964,History & geography
323.967,Literature
620.912,Literature
381.916,Literature
324.968,Literature
551.968,Literature
916.967,History & geography
223.296,Literature
387.629,Literature
508.916,Literature
730.937,Literature
224.296,Literature
996,History & geography
386.995,Literature
584.996,Literature
358.940,Literature
728,Literature
912.944,History & geography
895,Literature
912.981,History & geography
307,Literature
623.912,Literature
726.729,Literature
694.729,Literature
728.729,Literature
725.944,Literature
728.944,Literature
730.944,Literature
355.944,Literature
356.944,Literature
726.944,Literature
944,History & geography
357.944,Literature
624.944,Literature
726.918,Literature
728.918,Literature
727.918,Literature
385.944,Literature
393.918,Literature
725.918,Literature
666.918,Literature
385.981,Literature
381.687,Literature
623,Literature
320.973,Literature
355.973,Literature
907.973,History & geography
810.973,Literature
811.973,Literature
814.973,Literature
508.973,Literature
919.973,History & geography
326.973,Literature
623.973,Literature
381.391,Literature
711,Literature
778.981,Literature
910.981,History & geography
731.981,Literature
711.981,Literature
628.981,Literature
712,Literature
327.973,Literature
944.973,History & geography
520.523,Literature
520.522,Literature
355.951,Literature
391.951,Literature
784.951,Literature
365.951,Literature
364.951,Literature
726.951,Literature
792.951,Literature
297.951,Literature
646.951,Literature
365.918,Literature
791.981,Literature
381.951,Literature
331.951,Literature
338.951,Literature
728.951,Literature
624.951,Literature
551.958,Literature
728.958,Literature
393.951,Literature
725.951,Literature
333.951,Literature
730.951,Literature
723.951,Literature
394.951,Literature
720.951,Literature
387.951,Literature
522.951,Literature
700,Literature
349.951,Literature
181,Literature
266.996,Literature
390.996,Literature
954,History & geography
015.954,Literature
294.954,Literature
390.951,Literature
915.951,History & geography
920.950,History & geography
951.957,History & geography
327.954,Literature
915.959,History & geography
325.950,Literature
321.915,Literature
301.995,Literature
995,History & geography
912.969,History & geography
915.955,History & geography
915.953,History & geography
745.891,Literature
297.346,Literature
297,Literature
647,Literature
297.779,Literature
305.779,Literature
297.726,Literature
069.727,Literature
299,Literature
725.916,Literature
307.726,Literature
929,History & geography
348,Literature
305.392,Literature
725.729,Literature
378,Literature
303,Literature
381.915,Literature
636.915,Literature
633.915,Literature
729,Literature
362,Literature
385.391,Literature
305.958,Literature
392.915,Literature
133.305,Literature
953,History & geography
916.966,History & geography
297.492,Literature
354,Literature
207.967,Literature
320,Literature
496.967,Literature
962.963,History & geography
352,Literature
342,Literature
962.966,History & geography
912.916,History & geography
963,History & geography
915.916,History & geography
325.967,Literature
590,Literature
914.949,History & geography
226.252,Literature
727,Literature
303.943,Literature
255,Literature
725.792,Literature
727.919,Literature
383.388,Literature
386,Literature
719.914,Literature
943,History & geography
730.943,Literature
390.914,Literature
297.956,Literature
730.738,Literature
641.982,Literature
297.796,Literature
784.793,Literature
204,Literature
340.346,Literature
096.940,Literature
221.769,Literature
130.610,Literature
782,Literature
306.646,Literature
497.972,Literature
499.959,Literature
323.342,Literature
327.652,Literature
782.973,Literature
342.973,Literature
361.973,Literature
758,Literature
741.973,Literature
978,History & geography
331.979,Literature
331,Literature
331.940,Literature
365.973,Literature
624.725,Literature
305.979,Literature
550,Literature
912.973,History & geography
323.974,Literature
325.530,Literature
323,Literature
781.786,Literature
793,Literature
305.791,Literature
394.791,Literature
246.306,Literature
394.793,Literature
263.394,Literature
784.786,Literature
394.786,Literature
791.798,Literature
792.793,Literature
786,Literature
622.918,Literature
786.972,Literature
646,Literature
646.793,Literature
394.646,Literature
780.972,Literature
791.972,Literature
391.972,Literature
795,Literature
394.792,Literature
391.792,Literature
648.972,Literature
246,Literature
731,Literature
636.796,Literature
780.786,Literature
792.979,Literature
792.996,Literature
677.996,Literature
394.996,Literature
787.996,Literature
204.996,Literature
394.989,Literature
394.987,Literature
792.987,Literature
793.987,Literature
720.741,Literature
970,History & geography
917.970,History & geography
971,History & geography
223,Literature
413.972,Literature
615,Literature
549,Literature
526,Literature
389.530,Literature
513.516,Literature
535.612,Literature
516.520,Literature
346.513,Literature
121.540,Literature
709.767,Literature
757,Literature
611,Literature
759,Literature
741,Literature
203,Literature
720,Literature
657,Literature
394.687,Literature
362.959,Literature
365.613,Literature
551.959,Literature
352.959,Literature
363.959,Literature
294.959,Literature
327,Literature
297.305,Literature
769,Literature
952,History & geography
328,Literature
321,Literature
635,Literature
365.940,Literature
741.940,Literature
941,History & geography
944.947,History & geography
355.769,Literature
356,Literature
750.940,Literature
359,Literature
268.277,Literature
265.277,Literature
235.277,Literature
363.628,Literature
403.491,Literature
891,Literature
894,Literature
808,Literature
491.492,Literature
492,Literature
418,Literature
413.415,Literature
418.808,Literature
418.494,Literature
126,Literature
120,Literature
101,Literature
101.297,Literature
160.492,Literature
340,Literature
920.956,History & geography
297.525,Literature
514.525,Literature
610,Literature
011.973,Literature
840.841,Literature
929.943,History & geography
709,Literature
725.968,Literature
782.944,Literature
181.294,Literature
403.951,Literature
895.951,Literature
630,Literature
495.895,Literature
304.912,Literature
792.842,Literature
222.933,Literature
886,Literature
297.958,Literature
325,Literature
220,Literature
181.895,Literature
181.610,Literature
181.495,Literature
355.495,Literature
275.495,Literature
495.915,Literature
306.326,Literature
540.615,Literature
526.570,Literature
530,Literature
100.530,Literature
503.508,Literature
520.521,Literature
721.729,Literature
751,Literature
294.912,Literature
133.540,Literature
512.513,Literature
725.727,Literature
330.972,Literature
611.741,Literature
361.759,Literature
246.617,Literature
576,Literature
990,History & geography
079.320,Literature
386.918,Literature
398.821,Literature
246.729,Literature
525.912,Literature
246.726,Literature
726.728,Literature
630.728,Literature
325.333,Literature
892,Literature
393.958,Literature
723.958,Literature
724.958,Literature
729.958,Literature
726.958,Literature
727.958,Literature
223.264,Literature
725.958,Literature
279.958,Literature
720.958,Literature
349,Literature
321.975,Literature
326.975,Literature
338,Literature
614,Literature
531.623,Literature
610.616,Literature
603.615,Literature
520.529,Literature
516,Literature
529.610,Literature
503.590,Literature
133.297,Literature
392.951,Literature
580.610,Literature
610.641,Literature
296.344,Literature
296,Literature
296.610,Literature
912.983,History & geography
912.918,History & geography
580.983,Literature
590.983,Literature
975,History & geography
323.371,Literature
387,Literature
365,Literature
355.356,Literature
323.975,Literature
629,Literature
791.975,Literature
391.975,Literature
634,Literature
799.813,Literature
917.975,History & geography
791.797,Literature
333.659,Literature
551.975,Literature
323.623,Literature
597.917,Literature
799.917,Literature
746,Literature
394.790,Literature
323.325,Literature
728.796,Literature
390.917,Literature
629.975,Literature
790,Literature
398.782,Literature
782.975,Literature
792.891,Literature
276,Literature
206.974,Literature
325.974,Literature
382.981,Literature
382.949,Literature
210.891,Literature
264.297,Literature
264.281,Literature
226.264,Literature
160.239,Literature
180,Literature
809,Literature
211,Literature
831,Literature
095.226,Literature
321.937,Literature
391.739,Literature
833,Literature
225,Literature
232.831,Literature
909,History & geography
221.270,Literature
882.888,Literature
885,Literature
095.871,Literature
508.570,Literature
831.940,Literature
415.491,Literature
202,Literature
900,History & geography
133.154,Literature
487,Literature
230.281,Literature
398.781,Literature
301,Literature
529.808,Literature
390.398,Literature
390.529,Literature
724.914,Literature
387.914,Literature
731.914,Literature
727.914,Literature
914.940,History & geography
603.610,Literature
640,Literature
390.895,Literature
170.181,Literature
230.242,Literature
223.242,Literature
230,Literature
937.945,History & geography
230.274,Literature
728.945,Literature
296.392,Literature
681,Literature
532,Literature
185,Literature
391.918,Literature
708.914,Literature
710.914,Literature
753,Literature
914.947,History & geography
714.914,Literature
723.914,Literature
355.914,Literature
722.945,Literature
913.937,History & geography
513.519,Literature
513.892,Literature
513.521,Literature
529.681,Literature
610.615,Literature
610.611,Literature
516.526,Literature
297.636,Literature
511.513,Literature
580.630,Literature
520.527,Literature
522,Literature
515,Literature
133.520,Literature
750,Literature
133.529,Literature
297.529,Literature
665,Literature
610.612,Literature
297.520,Literature
582,Literature
621,Literature
594,Literature
598,Literature
882,Literature
880.932,Literature
725.741,Literature
392.741,Literature
618.951,Literature
610.951,Literature
916.968,History & geography
390.896,Literature
496.896,Literature
513.515,Literature
843,Literature
391.769,Literature
769.895,Literature
769.790,Literature
753.895,Literature
391.759,Literature
391.757,Literature
370.769,Literature
912.952,History & geography
327.952,Literature
359.769,Literature
440.841,Literature
769.796,Literature
769.952,Literature
381.918,Literature
323.843,Literature
359.917,Literature
325.909,Literature
039.390,Literature
931,History & geography
795.947,Literature
795.957,Literature
795.914,Literature
795.948,Literature
871.930,Literature
363.956,Literature
327.940,Literature
020.940,Literature
940.973,History & geography
743.940,Literature
630.940,Literature
332.945,Literature
335.940,Literature
370.940,Literature
610.940,Literature
363.940,Literature
700.940,Literature
362.940,Literature
359.940,Literature
791.940,Literature
769.950,Literature
325.940,Literature
625.912,Literature
681.940,Literature
305.940,Literature
616.940,Literature
792.940,Literature
623.940,Literature
170,Literature
920,History & geography
133,Literature
540,Literature
390,Literature
510,Literature
345.951,Literature
580.914,Literature
307.914,Literature
246.914,Literature
634.914,Literature
738.914,Literature
674.914,Literature
623.914,Literature
363.915,Literature
247.914,Literature
090.914,Literature
579.914,Literature
582.914,Literature
779.914,Literature
914.945,History & geography
631.914,Literature
203.914,Literature
281.914,Literature
621.914,Literature
271.914,Literature
578.914,Literature
552.914,Literature
778.914,Literature
625.914,Literature
523.915,Literature
630.914,Literature
639.914,Literature
622.914,Literature
625.957,Literature
670.914,Literature
590.914,Literature
599.914,Literature
598.914,Literature
371.914,Literature
597.914,Literature
297.914,Literature
684.914,Literature
580.915,Literature
583.915,Literature
729.915,Literature
372.914,Literature
798.914,Literature
370.914,Literature
610.915,Literature
736.914,Literature
681.914,Literature
232.914,Literature
746.914,Literature
264.914,Literature
739.914,Literature
666.914,Literature
745.914,Literature
306.914,Literature
726.729.914,Literature
638.914,Literature
305.915,Literature
365.915,Literature
737.914,Literature
700.914,Literature
393.915,Literature
625.915,Literature
507.914,Literature
386.915,Literature
750.914,Literature
331.915,Literature
386.627.914,Literature
708.915,Literature
677.915,Literature
746.915,Literature
851,Literature
529.972,Literature
299.972,Literature
393.972,Literature
380.912,Literature
910.912,History & geography
711.912,Literature
553.625,Literature
355.745,Literature
297.891,Literature
745.892,Literature
327.947,Literature
491.745,Literature
950,History & geography
297.491,Literature
297.892,Literature
160,Literature
371.745,Literature
275.282,Literature
627.918,Literature
252.282,Literature
918.972,History & geography
252.281,Literature
230.282,Literature
180.230,Literature
242.892,Literature
403.492,Literature
242.270,Literature
627.912,Literature
025.027,Literature
618,Literature
917.978,History & geography
130.892,Literature
325.917,Literature
930.955,History & geography
919,History & geography
382.915,Literature
181.297,Literature
863,Literature
351.972,Literature
860.863,Literature
508,Literature
510.646,Literature
580.615,Literature
527,Literature
860.861,Literature
861,Literature
799,Literature
598.799,Literature
391.392,Literature
728.799,Literature
750.793,Literature
294.769,Literature
739,Literature
398.895,Literature
750.895,Literature
390.769,Literature
394.769,Literature
594.895,Literature
782.895,Literature
321.328,Literature
328.952,Literature
325.460,Literature
325.392,Literature
782.784,Literature
221.296,Literature
133.951,Literature
365.947,Literature
627.947,Literature
535,Literature
030.297,Literature
520.530,Literature
903.909,History & geography
782.892,Literature
181.892,Literature
903.910,History & geography
809.892,Literature
110.180,Literature
010.090,Literature
372.491,Literature
373.491,Literature
372.900,Literature
912.949,History & geography
791.839,Literature
092.226,Literature
264,Literature
221.297,Literature
833.837,Literature
270.280,Literature
356.796,Literature
073.943,Literature
760.951,Literature
333.967,Literature
390.967,Literature
266.276,Literature
276.916,Literature
266.920,Literature
210.241,Literature
342.967,Literature
276.920,Literature
207.276,Literature
321.972,Literature
739.745,Literature
324.972,Literature
860,Literature
982,History & geography
393.916,Literature
726.916,Literature
708.916,Literature
359.916,Literature
387.916,Literature
793.916,Literature
725.728,Literature
746.916,Literature
641.916,Literature
794.916,Literature
790.916,Literature
646.915,Literature
641.915,Literature
720.914,Literature
920.954,History & geography
870.930,Literature
096.745,Literature
221,Literature
391.791,Literature
391.943,Literature
100.920,Literature
783.786,Literature
687,Literature
297.899,Literature
391.394,Literature
349.943,Literature
780,Literature
220.230,Literature
248.271,Literature
297.900,Literature
800.841,Literature
891.935,Literature
720.728,Literature
220.246,Literature
355.796,Literature
837,Literature
830,Literature
590.831,Literature
92,History & geography
403.411,Literature
580.581,Literature
986,History & geography
270.861,Literature
202.986,Literature
413.498,Literature
255.985,Literature
299.918,Literature
738.918,Literature
630.918,Literature
799.918,Literature
305.918,Literature
641.918,Literature
636.918,Literature
791.918,Literature
732.918,Literature
786.918,Literature
746.918,Literature
633.918,Literature
749.918,Literature
671.918,Literature
918.986,History & geography
633.986,Literature
327.948,Literature
914.944,History & geography
327.943,Literature
914.943,History & geography
327.957,Literature
386.943,Literature
915.949,History & geography
350,Literature
915.947,History & geography
327.963,Literature
325.327,Literature
074.944,Literature
306.949,Literature
327.949,Literature
341.949,Literature
296.321,Literature
759.959,Literature
741.958,Literature
355.967,Literature
750.784,Literature
355.965,Literature
355.943,Literature
355.759,Literature
769.972,Literature
355.972,Literature
825.941,Literature
264.393,Literature
273.276,Literature
700.891,Literature
728.974,Literature
725.974,Literature
362.727,Literature
708.974,Literature
798.974,Literature
793.974,Literature
361.974,Literature
071.974,Literature
353.974,Literature
726.974,Literature
305.974,Literature
799.974,Literature
381.725,Literature
663.725,Literature
684.725,Literature
725.786,Literature
386.974,Literature
338.725,Literature
666.725,Literature
661.725,Literature
725.796,Literature
727.974,Literature
381.974,Literature
385.974,Literature
791.974,Literature
362.728,Literature
675.725,Literature
365.974,Literature
332.974,Literature
373.728,Literature
797.974,Literature
687.725,Literature
718.974,Literature
355.974,Literature
676.974,Literature
670.974,Literature
338.974,Literature
393.974,Literature
664.974,Literature
674.974,Literature
538.974,Literature
671.974,Literature
672.974,Literature
685.974,Literature
363.728,Literature
677.974,Literature
615.974,Literature
680.974,Literature
622.974,Literature
362.974,Literature
628.725,Literature
628.974,Literature
679.974,Literature
687.974,Literature
366.974,Literature
690.974,Literature
374.974,Literature
362.725,Literature
391.974,Literature
665.974,Literature
381.728,Literature
677,Literature
670.725,Literature
661.974,Literature
641.974,Literature
675.974,Literature
387.974,Literature
718,Literature
383.974,Literature
365.728,Literature
363.974,Literature
912.974,History & geography
613.641,Literature
100,Literature
057.891,Literature
912.976,History & geography
670,Literature
977,History & geography
912.977,History & geography
815.973,Literature
891.900,Literature
769.947,Literature
891.947,Literature
296.839,Literature
391.750,Literature
759.954,Literature
630.750,Literature
580.750,Literature
759.796,Literature
759.958,Literature
728.759,Literature
297.326,Literature
212.297,Literature
321.341,Literature
172.174,Literature
297.341,Literature
331.381,Literature
326.381,Literature
