Creator,creator_id
"Gardner, Alexander, 1821-1882",0
"Vargas, Max T., 1874–1959",1
"Sandberg, Bob",2
"Brumfield, William Craft, 1944-",3
"Ferrez, Marc, 1843-1923",4
"Dietze, Albert Richard, flourished 1869",5
"Lange, Dorothea, 1895-1965",6
"Moura, Miguel de",7
"Pacheco, Joaquim José Insley, 1830-1912",8
"Riedel, Augusto, 1836-1877?",9
"Riis, Jacob A. (Jacob August), 1849-1914",10
"Silva, Arsenio da",11
"Hine, Lewis Wickes, 1874-1940",12
"Roosevelt, Kermit, 1889-1943",13
Moody,14
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",15
"Jackson, William Henry, 1843-1942",16
"Sébah, Pascal",17
"Carpenter, Frank G. (Frank George), 1855-1924",18
American Colony in Jerusalem,19
"Holmes, Burton, 1870-1958",20
Publishers Photo Service,21
"Bushemi, John",22
"Genthe, Arnold, 1869-1942",23
"Waite, C. B. (Charles Betts), 1861-1927",24
Neurdein Frères,25
"Santos, E. M.",26
"Hancox, F. H.",27
"Vincenti, Carl von",28
G.R. Lambert & Co,29
"ʻAbd al-Ghaffār, al-Sayyid, Physician of Mecca",30
S.C.T.,31
Near East Relief Mission,32
Sebah & Joaillier,33
"Bogaevskii, Nikolai V., 1843-1912",34
"Benaboud, Mhammad",35
"Moron, Juan",36
"Lergetporer, Benedikt",37
"Tattersall, A.J., born 1861",38
United States. Army Air Forces,39
"Braquehais, Bruno, 1823-1875",40
"Benque, Francisco",41
"Hees, Pedro, 1841-1880",42
"Castro y Ordóñez, Rafael, 1834-1865",43
"Brady, Mathew B., 1823?-1896",44
"Plumbe, John, 1809-1857",45
"Scholten, J. A. (John A.), 1829-1886",46
"Lamberg, Moritz",47
"Leuzinger, George, 1813-1892",48
"Boiarskii, Adolf-Nikolay Erazmovich",49
Maison Bonfils,50
"Rau, William Herman, 1855-1920",51
"Rowe, Abbie, 1905-1967",52
"Adams, Ansel, 1902-1984",53
"Scherman, Rowland",54
"Higgins, Chester, 1946-",55
"O'Rear, Charles, born 1941",56
"Proano, M. G.",57
"Rudin, James R.",58
"Norton, Noel P.",59
