title|col|wdl_url|ins_key|pub_key|dewey_dec_code|item_code|date|item_id
Antietam, Maryland. Allan Pinkerton, President Lincoln, and Major General John A. McClernand: Another View||https://www.wdl.org/en/item/1|ins_1||973|prph|1862-10-03|0
Chola Woman, Full-Length Portrait, Standing, Facing Right, La Paz, Bolivia|col_2|https://www.wdl.org/en/item/2|ins_1||391|prph|1911|1
Maps of Ezo, Sakhalin, and Kuril Islands||https://www.wdl.org/en/item/3|ins_1|pub_2|912|mp|1854|2
Warrior Asahina Kobayashi|col_3|https://www.wdl.org/en/item/4|ins_1||769.792|prph|1862|3
Manuscript Map of Dagua River Region, Colombia||https://www.wdl.org/en/item/5|ins_1||912|mp|1764|4
Map of a Part of the Island of Cuba and of the Bahamas|col_4|https://www.wdl.org/en/item/6|ins_1|pub_3|912|mp|1650|5
Map of the World||https://www.wdl.org/en/item/7|ins_2|pub_4|912|mp|1775|6
House of Ichizuke|col_3|https://www.wdl.org/en/item/8|ins_1||306.769|prph|1804|7
The Actor Nakamura Utaemon in the Role of Kato Masakiyo|col_3|https://www.wdl.org/en/item/9|ins_1||792|prph|1818/1830|8
An Actor in the Role of Sato Norikiyo who Becomes Saigyo: An Actor in the Role of Yoshinaka|col_3|https://www.wdl.org/en/item/10|ins_1||294.792|prph|1850|9
Peony and Canary|col_3|https://www.wdl.org/en/item/11|ins_1||598.635|prph|1833|10
Suffrage Parade, New York City, May 6, 1912|col_5|https://www.wdl.org/en/item/12|ins_1|pub_5|323.324|prph|4510|11
Girl's Day|col_3|https://www.wdl.org/en/item/13|ins_1||394|prph|1726|12
Thomas Jefferson, Head-and-Shoulders Portrait, Facing Right|col_5|https://www.wdl.org/en/item/14|ins_1||973|prph|1805|13
Two Jewish Women Standing, Facing Each Other, in Tunisia|col_2|https://www.wdl.org/en/item/15|ins_1||391|prph|1900/1923|14
United States Capitol, Washington, D.C.: East Front Elevation, Rendering|col_5|https://www.wdl.org/en/item/17|ins_1||743.975|prph|1834|15
First Nerchinsk Regiment of Zabaikal Cossack Troops||https://www.wdl.org/en/item/18|ins_3|pub_6|355|bk|1907|16
7th War Loan. Now--All Together||https://www.wdl.org/en/item/19|ins_1|pub_7|332.940|prph|1945|17
A Chart of the Gulf Stream||https://www.wdl.org/en/item/20|ins_1|pub_8|551.911|mp|1786|18
A General Chart of the West Indies: With Additions from the Latest Navigators||https://www.wdl.org/en/item/21|ins_1|pub_9|912|mp|1796-06-04|19
The Island and City of Metropolitan Goa of India||https://www.wdl.org/en/item/22|ins_2||912|mp|1595|20
A Journal of Captain Cook's Last Voyage to the Pacific Ocean, and in Quest of a North-West Passage Between Asia & America, Performed in the Years 1776, 1777, 1778, and 1779|col_6|https://www.wdl.org/en/item/23|ins_1|pub_10|910|bk|1783|21
A New Map of Nova Scotia, and Cape Breton Island: With the Adjacent Parts of New England and Canada, Composed from a Great Number of Actual Surveys; and Other Materials Regulated by Many New Astronomical Observations of the Longitude as Well as Latitude||https://www.wdl.org/en/item/24|ins_1|pub_11|912|mp|1775|22
A Plan of the Rosalij Compy. Estates, the Property of His Excelly. Charles O'Harra, the Honble. Leiut. Gov. Will. Stuart, James Clarke & Rob. & Phill.||https://www.wdl.org/en/item/25|ins_1||912|mp|1776|23
A Voyage Down the Amoor: With a Land Journey through Siberia, and Incidental Notices of Manchooria, Kamschatka, and Japan||https://www.wdl.org/en/item/26|ins_1|pub_12|915|bk|1860|24
Abosko-B'erneborg Province|col_7|https://www.wdl.org/en/item/27|ins_4||914|prph|1856|25
Aesop's Fables|col_8|https://www.wdl.org/en/item/28|ins_1|pub_13|398|bk|1479|26
Jackie Robinson of the Brooklyn Dodgers, Posed and Ready to Swing|col_5|https://www.wdl.org/en/item/29|ins_1||796|prph|1954|27
The Gift of the Followers of the Path of Muhammad||https://www.wdl.org/en/item/30|ins_5||297.966|ms|1809|28
