title,col,wdl_url,ins_key,pub_key,dewey_dec_code,type_id,date,item_id
"Members of a Royal(?) Family Gathered for a Group Portrait, Kenya",col_2,https://www.wdl.org/en/item/433,ins_1,pub_136,391.967,prph,1900/1925,415
"Large Group of People Gathered Around Some Men with Musical Instruments, Mombasa, Kenya",col_2,https://www.wdl.org/en/item/434,ins_1,pub_136,967,prph,1900/1925,416
"Members of a Royal(?) Family Gathered for a Group Portrait, Kenya",col_2,https://www.wdl.org/en/item/433,ins_1,pub_136,391.967,prph,1900/1925,12345
"Large Group of People Gathered Around Some Men with Musical Instruments, Mombasa, Kenya",col_2,https://www.wdl.org/en/item/434,ins_1,pub_136,967,prph,1900/1925,12346
"Portuguese Government Gunboat on the Zambesi River, Used to Preserve Order Among the Natives, Tete, Mozambique, Africa",col_2,https://www.wdl.org/en/item/485,ins_1,pub_148,967,prph,1900/1923,465
"Portuguese Government Gunboat on the Zambesi River, Used to Preserve Order Among the Natives, Tete, Mozambique, Africa",col_2,https://www.wdl.org/en/item/485,ins_1,pub_148,967,prph,1900/1923,12395
Cairo to Kisumu: Egypt-Sudan-Kenya Colony,col_2,https://www.wdl.org/en/item/2535,ins_1,pub_256,916,bk,1923,1502
Cairo to Kisumu: Egypt-Sudan-Kenya Colony,col_2,https://www.wdl.org/en/item/2535,ins_1,pub_256,916,bk,1923,13432
Toragaishi,col_3,https://www.wdl.org/en/item/4345,ins_1,pub_449,769,prph,1716/1726,3113
Toragaishi,col_3,https://www.wdl.org/en/item/4345,ins_1,pub_449,769,prph,1716/1726,15043
The Young Maiden Oshichi,col_3,https://www.wdl.org/en/item/4363,ins_1,pub_452,769,prph,1867,3131
The Young Maiden Oshichi,col_3,https://www.wdl.org/en/item/4363,ins_1,pub_452,769,prph,1867,15061
Portrait of the French,col_3,https://www.wdl.org/en/item/6673,ins_1,pub_543,769.952,prph,1861,5348
Portrait of the French,col_3,https://www.wdl.org/en/item/6673,ins_1,pub_543,769.952,prph,1861,17278
"Suffrage Parade, New York City, May 6, 1912",col_5,https://www.wdl.org/en/item/12,ins_1,pub_5,323.324,prph,4510,11
"Suffrage Parade, New York City, May 6, 1912",col_5,https://www.wdl.org/en/item/12,ins_1,pub_5,323.324,prph,5/6/1912,11941
"Destitute Pea Pickers in California: Mother of Seven Children, Age Thirty-two, Nipomo, California. Migrant Mother",col_5,https://www.wdl.org/en/item/81,ins_1,pub_38,306.331,prph,1936-02,77
"Destitute Pea Pickers in California: Mother of Seven Children, Age Thirty-two, Nipomo, California. Migrant Mother",col_5,https://www.wdl.org/en/item/81,ins_1,pub_38,306.331,prph,1936-02,12007
"The Bloody Massacre Perpetrated in King Street, Boston, on March 5th 1770 by a Party of the 29th Regiment",col_5,https://www.wdl.org/en/item/214,ins_1,pub_84,973,prph,1770,207
"The Bloody Massacre Perpetrated in King Street, Boston, on March 5th 1770 by a Party of the 29th Regiment",col_5,https://www.wdl.org/en/item/214,ins_1,pub_84,973,prph,1770,12137
Emigrant's Map and Guide for Routes to North America,col_5,https://www.wdl.org/en/item/41,ins_1,pub_19,912.917,mp,1853,39
Emigrant's Map and Guide for Routes to North America,col_5,https://www.wdl.org/en/item/41,ins_1,pub_19,912.917,mp,1853,11969
California or New Carolina: Place of Apostolic Works of Society of Jesus at the Septentrional America,col_5,https://www.wdl.org/en/item/134,ins_1,pub_59,912,mp,1720,129
California or New Carolina: Place of Apostolic Works of Society of Jesus at the Septentrional America,col_5,https://www.wdl.org/en/item/134,ins_1,pub_59,912,mp,1720,12059
Panama,col_5,https://www.wdl.org/en/item/183,ins_1,pub_76,912,mp,1904,177
Panama,col_5,https://www.wdl.org/en/item/183,ins_1,pub_76,912,mp,1904,12107
"Map of the United States of America: With the Contiguous British and Spanish Possessions, 1816",col_5,https://www.wdl.org/en/item/9561,ins_1,pub_783,912.973,mp,1816,8152
"Map of the United States of America: With the Contiguous British and Spanish Possessions, 1816",col_5,https://www.wdl.org/en/item/9561,ins_1,pub_783,912.973,mp,1816,20082
A Plan of the West Line or Parallel of Latitude,col_5,https://www.wdl.org/en/item/9573,ins_1,pub_790,912,mp,1768,8164
A Plan of the West Line or Parallel of Latitude,col_5,https://www.wdl.org/en/item/9573,ins_1,pub_790,912,mp,1768,20094
"Homestead, Pennsylvania, 1902",col_5,https://www.wdl.org/en/item/9574,ins_1,pub_791,912,mp,1902,8165
"Titusville, Pennsylvania, 1896",col_5,https://www.wdl.org/en/item/11368,ins_1,pub_791,912,mp,1896,9794
"Homestead, Pennsylvania, 1902",col_5,https://www.wdl.org/en/item/9574,ins_1,pub_791,912,mp,1902,20095
"Titusville, Pennsylvania, 1896",col_5,https://www.wdl.org/en/item/11368,ins_1,pub_791,912,mp,1896,21724
Map of Ohio and Indiana,col_5,https://www.wdl.org/en/item/9600,ins_1,pub_784,912,mp,1839,8191
Map of Kentucky and Tennessee,col_5,https://www.wdl.org/en/item/9601,ins_1,pub_784,912,mp,1839,8192
Map of Ohio and Indiana,col_5,https://www.wdl.org/en/item/9600,ins_1,pub_784,912,mp,1839,20121
Map of Kentucky and Tennessee,col_5,https://www.wdl.org/en/item/9601,ins_1,pub_784,912,mp,1839,20122
"Bird''s-Eye View of the World''s Columbian Exposition, Chicago, 1893",col_5,https://www.wdl.org/en/item/11369,ins_1,pub_18,977,mp,1893,9795
"Bird''s-Eye View of the World''s Columbian Exposition, Chicago, 1893",col_5,https://www.wdl.org/en/item/11369,ins_1,pub_18,977,mp,1893,21725
Spelling Book for the Children of the Martínez de Taos Family,col_5,https://www.wdl.org/en/item/78,ins_1,pub_35,372.461,bk,1834,74
Spelling Book for the Children of the Martínez de Taos Family,col_5,https://www.wdl.org/en/item/78,ins_1,pub_35,372.461,bk,1834,12004
The Story of My Childhood,col_5,https://www.wdl.org/en/item/7315,ins_1,pub_575,920,bk,1907,5924
The Story of My Childhood,col_5,https://www.wdl.org/en/item/7315,ins_1,pub_575,920,bk,1907,17854
Aguinaldo's Navy,col_5,https://www.wdl.org/en/item/481,ins_1,pub_15,959,mp,49,461
"Steam Hammer, Westinghouse Works, 1904",col_5,https://www.wdl.org/en/item/9565,ins_1,pub_15,670,mp,1904-05,8156
Aguinaldo's Navy,col_5,https://www.wdl.org/en/item/481,ins_1,pub_15,959,mp,2/18/1900,12391
"Steam Hammer, Westinghouse Works, 1904",col_5,https://www.wdl.org/en/item/9565,ins_1,pub_15,670,mp,1904-05,20086
"Arrival of Emigrants [i.e. Immigrants], Ellis Island",col_10,https://www.wdl.org/en/item/35,ins_1,pub_15,304.325,mp,2309,33
"Arrival of Emigrants [i.e. Immigrants], Ellis Island",col_10,https://www.wdl.org/en/item/35,ins_1,pub_15,304.325,mp,4/27/1906,11963
"Interview with Fountain Hughes, Baltimore, Maryland, June 11, 1949",col_5,https://www.wdl.org/en/item/110,ins_1,pub_50,306.973,sr,18060,105
