Place,place_id
North America ,0
 United States of America ,1
 Maryland ,2
 Antietam,3
Latin America and the Caribbean ,4
 Bolivia ,5
 La Paz,6
East Asia ,7
 Japan ,8
 Hokkaido|Europe ,9
 Russian Federation ,10
 Sakhalin Oblast ,11
 Kuril Islands,12
 Japan,13
 Colombia ,14
 Valle del Cauca ,15
 Buenaventura,16
 Bahamas|Latin America and the Caribbean ,17
 Cuba|North America ,18
 Florida,19
World,20
 New York ,21
 New York,22
 District of Columbia ,23
 Washington,24
Middle East and North Africa ,25
 Tunisia,26
 China|East Asia ,27
 Japan|Europe ,28
 Amur Oblast|Europe ,29
" Buryatia, Republic of",30
 Tokyo ,31
 Iwo Jima|North America ,32
 United States of America,33
 Canada|North America ,34
Latin America and the Caribbean,35
Central and South Asia ,36
 India ,37
 Goa,38
 Canada ,39
 New Brunswick|North America ,40
 Nova Scotia|North America ,41
 Maine|North America ,42
 Massachusetts|North America ,43
 New Hampshire,44
 Dominica ,45
 Saint David ,46
 Rosalie,47
 Amur Oblast,48
Europe ,49
 Finland,50
Europe,51
Africa ,52
 Mali ,53
 Tombouctou,54
Latin America and the Caribbean|North America,55
 Khabarovsk Krai ,56
 Khabarovsk,57
 Arkhangelsk Oblast,58
Middle East and North Africa,59
 Astrakhan Oblast,60
 Austria|Europe ,61
 Hungary,62
 Germany|North America ,63
 Lithuania,64
 Brazil ,65
 Rio de Janeiro ,66
 Niterói,67
 China ,68
 Beijing ,69
 Beijing,70
 Moldova,71
 Armenia|Middle East and North Africa ,72
 Turkey,73
 Brazil,74
 United Kingdom of Great Britain and Northern Ireland|World,75
 South Africa,76
 Argentina|Latin America and the Caribbean ,77
 Chile,78
Africa,79
 Liaoning Province|East Asia ,80
 Shandong Province|East Asia ,81
 Democratic People's Republic of Korea|East Asia ,82
 Republic of Korea,83
Oceania and the Pacific ,84
 Australia,85
 Costa Rica|Latin America and the Caribbean ,86
 Nicaragua,87
 Bahrain|Middle East and North Africa ,88
 Jordan|Middle East and North Africa ,89
 Saudi Arabia,90
 Democratic Republic of the Congo,91
 Kirov Oblast ,92
 Viatka,93
 Vologda Oblast,94
 Mexico|North America ,95
 Ecuador ,96
 Galápagos,97
" Buryatia, Republic of|Europe ",98
 Irkutsk Oblast|Europe ,99
 Krasnoyarsk Krai|Europe ,100
 Novosibirsk Oblast|Europe ,101
 Omsk Oblast|Europe ,102
 Sakha (Yakutiya) Republic|Europe ,103
 Tomsk Oblast|Europe ,104
 Tyumen Oblast|Europe ,105
 Yamalo-Nenetskiy Autonomous Okrug,106
 Russian Federation|Europe ,107
 Ukraine,108
 Chukotka Autonomous Okrug|Europe ,109
 Kamchatka Krai,110
 Colombia,111
 Espírito Santo ,112
 Domingos Martins|Latin America and the Caribbean ,113
 Rio Novo do Sul|Latin America and the Caribbean ,114
 Santa Leopoldina,115
 Hokkaido,116
 Brazil|Latin America and the Caribbean ,117
 Paraguay,118
 Cuba,119
 New Mexico,120
 Egypt,121
 California ,122
 Nipomo,123
Southeast Asia ,124
 Philippines,125
 Vologda Oblast ,126
 Totma,127
 Ukraine ,128
 Dnipropetrovs'ka Oblast,129
 Sakha (Yakutiya) Republic,130
 Krasnoyarsk Krai,131
 Cuba|Latin America and the Caribbean ,132
 Dominican Republic|Latin America and the Caribbean ,133
 Haiti,134
 Azerbaijan|Middle East and North Africa ,135
 Turkey ,136
 Iğdır Province,137
 Albania|Europe ,138
 Bosnia and Herzegovina|Europe ,139
 Bulgaria|Europe ,140
 Greece|Europe ,141
 Serbia,142
 Russian Federation|North America ,143
 Alaska,144
Antarctica,145
 Irkutsk Oblast,146
Africa|Middle East and North Africa,147
 Russian Federation,148
" Iran, Islamic Republic of",149
" Buryatia, Republic of ",150
 Gusinoye Ozero,151
 Ireland,152
 Mexico ,153
 Texcoco de Mora,154
 Pennsylvania ,155
 Philadelphia,156
 Baltimore|North America ,157
 Virginia ,158
 Charlottesville,159
 Omsk Oblast ,160
 Bol'sherech'e,161
 Ivolginsk,162
 United Kingdom of Great Britain and Northern Ireland|North America ,163
 Virginia,164
 France,165
 China|Europe ,166
 Khabarovsk Krai,167
 Chukotka Autonomous Okrug,168
 Mongolia|Europe ,169
 Sakhalin Oblast,170
 Khabarovsk Krai|Europe ,171
 Sakhalin Oblast|North America ,172
 Kamchatka Krai|North America ,173
 Tomsk Oblast,174
 Tyumen Oblast,175
 Tyumen Oblast ,176
 Tobol'sk,177
 California,178
 Spain,179
 Israel ,180
 Jerusalem,181
 Minas Gerais,182
 Bolivia|Latin America and the Caribbean ,183
 Colombia|Latin America and the Caribbean ,184
 Ecuador|Latin America and the Caribbean ,185
 Peru,186
 India,187
 Chile|Latin America and the Caribbean ,188
 Paraguay|Latin America and the Caribbean ,189
 Uruguay,190
 Belize|Latin America and the Caribbean ,191
 El Salvador|Latin America and the Caribbean ,192
 Guatemala|Latin America and the Caribbean ,193
 Honduras|Latin America and the Caribbean ,194
 Chiapas|Latin America and the Caribbean ,195
 Germany,196
 Israel|Middle East and North Africa ,197
 Lebanon ,198
 Al-Biqāʻ ,199
 Baʻlabakk|Middle East and North Africa ,200
 Syrian Arab Republic,201
 Liberia|Africa ,202
 Sierra Leone,203
 Mexico|Latin America and the Caribbean ,204
 Nicaragua|Latin America and the Caribbean ,205
 Uruguay|North America ,206
Central and South Asia|Oceania and the Pacific ,207
 Arkhangelsk Oblast ,208
 Solovetski Islands,209
 Ferapontovo,210
 Spain|Latin America and the Caribbean ,211
 Florida|North America ,212
 Texas,213
 Portugal|Europe ,214
 France ,215
 French Guiana|Latin America and the Caribbean ,216
 Guyana|Latin America and the Caribbean ,217
 Suriname,218
 Guangdong Province,219
 Guatemala,220
 Norway ,221
 Rogaland,222
 Yunnan Province,223
 Panama,224
 Rio de Janeiro,225
 Chile ,226
 Biobío ,227
 Concepción,228
 Distrito Federal ,229
 Mexico City,230
 Novosibirsk Oblast,231
 Nebraska ,232
 Macy,233
 Petrópolis,234
 Italy,235
 United Kingdom of Great Britain and Northern Ireland,236
 Florida ,237
 Saint Augustine,238
 North Carolina ,239
 Cherryville,240
 Shafter,241
 Taiwan,242
 Iraq,243
 Philippines ,244
 Manila ,245
 Manila,246
 Massachusetts ,247
 Boston,248
 Afghanistan|Central and South Asia ,249
 India|Central and South Asia ,250
 Pakistan,251
 Bahia ,252
 Salvador,253
 Trinidad and Tobago|Latin America and the Caribbean ,254
 Venezuela (Bolivarian Republic of),255
 Washington|Southeast Asia ,256
 Viet Nam,257
 Quebec,258
 Albania ,259
 Gjirokastër ,260
 Tepelenë,261
 Albania,262
 Belgium,263
 Angola|Africa ,264
 Mozambique,265
 Argentina ,266
 Buenos Aires|Latin America and the Caribbean ,267
 Potosí|Latin America and the Caribbean ,268
 Peru|Latin America and the Caribbean ,269
 Argentina,270
 Buenos Aires,271
 Artvin Province ,272
 Artvin,273
Europe|Oceania and the Pacific ,274
 Germany|Europe ,275
 Italy|Europe ,276
 Slovenia|Europe ,277
 Switzerland,278
 Slovakia,279
 Barbados,280
 Belarus,281
 Belarus ,282
 Vitsyebskaya Voblasts ,283
 Verkhnyadzvinsk,284
 Vitebsk,285
 Polotsk,286
 Armenia,287
 Bulgaria ,288
 Gabrovo,289
 Lithuania ,290
 Trakai,291
 Žemaitija,292
 Kaunas,293
 Belize,294
 Benin|Europe ,295
 Martinique,296
 Ethiopia|Africa ,297
 Madagascar|Africa ,298
 Sao Tome and Principe|Europe ,299
 Brazil|North America ,300
 Brunei Darussalam|Southeast Asia ,301
 Indonesia|Southeast Asia ,302
 Malaysia,303
 Bulgaria,304
 Maine,305
 Canada,306
Europe|North America ,307
 Quebec ,308
 Montréal,309
 Ontario|North America ,310
 China,311
 Henan Province ,312
 Anyang,313
 Azerbaijan ,314
 Saatli,315
 Mugan Steppe ,316
 Grafovka,317
 Mugan Steppe,318
 Petropavlovskoe,319
 Cambodia|Southeast Asia ,320
 Lao People's Democratic Republic|Southeast Asia ,321
 Thailand|Southeast Asia ,322
 Myanmar|Southeast Asia ,323
 Jiangsu Province,324
 Georgia,325
 India|East Asia ,326
 Tibet,327
 Congo,328
 Burundi|Africa ,329
 Cameroon|Africa ,330
 Congo|Africa ,331
 Democratic Republic of the Congo|Africa ,332
 Equatorial Guinea|Africa ,333
 Gabon|Africa ,334
 Kenya|Africa ,335
 Rwanda|Africa ,336
" Tanzania, United Republic of|Africa ",337
 Uganda|Europe ,338
 Sudan|Africa ,339
 Uganda,340
 Croatia ,341
 Rijeka,342
 Opatija,343
 Ukmergė,344
 Cuba ,345
 Havana ,346
 Havana,347
 Cyprus,348
 Denmark,349
 United Kingdom of Great Britain and Northern Ireland|Latin America and the Caribbean ,350
 Guayas ,351
 Guayaquil,352
 Iraq ,353
 Baghdad ,354
 Baghdad,355
 Estonia|Europe ,356
 Commonwealth of Northern Mariana Islands|Oceania and the Pacific ,357
 Palau,358
 Micronesia (Federated States of) ,359
 Kosrae,360
 Finland|Europe ,361
 Île-de-France ,362
 Paris,363
 France|Europe ,364
 Lourdes,365
 Georgia ,366
 Chakva,367
 Abkhazia ,368
 Gagra,369
 Greece,370
 Grenada,371
 Guatemala ,372
 Izabal ,373
 Quiriguá,374
 Guyana|Oceania and the Pacific ,375
 Panevėžys ,376
 Upyte,377
 Bangladesh|Central and South Asia ,378
 Bhutan|Central and South Asia ,379
 Nepal|Central and South Asia ,380
 Pakistan|Central and South Asia ,381
 Sri Lanka,382
 Uttar Pradesh ,383
 Vārānasi,384
 Spain|Southeast Asia ,385
 Indonesia ,386
 Maluku|Southeast Asia ,387
 Java,388
 Yogyakarta,389
 Iraq|Middle East and North Africa ,390
 Uganda ,391
 Western,392
 Sacatepéquez,393
 Guerrero ,394
 Zumpango del Río,395
 Israel,396
 Italy ,397
 Veneto ,398
 Venice,399
 Germany ,400
 Frankfurt am Main,401
 Sweden ,402
 Stockholm County ,403
 Stockholm,404
 Jamaica,405
 Jordan ,406
 Amman ,407
 Amman,408
 Kazakhstan ,409
 Qaraghandy Oblast ,410
 Betpak-Dala,411
 Sverdlovsk Oblast ,412
 Serov,413
 Kazakhstan,414
 Kenya,415
 French Polynesia|Latin America and the Caribbean ,416
 Chile|North America ,417
 United States of America|Oceania and the Pacific ,418
 Kiribati,419
 Republic of Korea ,420
 Seoul,421
 Veracruz ,422
 Zempoala,423
 Latvia ,424
 Daugavpils,425
 Latvia|Europe ,426
 Beirut,427
 Liberia,428
 Vilnius,429
 Solomon Islands,430
 Nauru,431
 Kiribati|Oceania and the Pacific ,432
 Oaxaca ,433
 Santa María Ixcatlán,434
 Kimzha,435
 China|Southeast Asia ,436
 Zabaykalsky Krai,437
 Mali|World,438
 Mali,439
 United Kingdom of Great Britain and Northern Ireland|Oceania and the Pacific ,440
Latin America and the Caribbean|Latin America and the Caribbean ,441
 Portugal,442
" Iran, Islamic Republic of|Central and South Asia ",443
 Hebei Province|East Asia ,444
 Inner Mongolia,445
 Mali|Africa ,446
 Mauritania|Middle East and North Africa ,447
 Algeria|Middle East and North Africa ,448
 Morocco,449
 Mauritius,450
 Poland|Europe ,451
 Madagascar,452
 Romania,453
 Montenegro,454
 Peru ,455
 Arequipa,456
 Lima ,457
 Lima,458
 New Zealand,459
 New Zealand ,460
 Rotorua,461
 Mexico,462
" Karelia, Republic of ",463
 Kizhi,464
 Lyadiny,465
 Puebla ,466
 Cholula,467
 Arkhangelsk Oblast|Europe ,468
 Kamchatka Krai|Europe ,469
 Magadan Oblast|Europe ,470
 Murmansk Oblast|Europe ,471
 Myanmar,472
 Poland ,473
 Mazowieckie ,474
 Warsaw,475
 Morocco ,476
 Tangier,477
 Kazakhstan|Central and South Asia ,478
 Kyrgyzstan|Central and South Asia ,479
 Tajikistan|Central and South Asia ,480
 Turkmenistan|Central and South Asia ,481
 Uzbekistan|Europe ,482
 Belgium|Europe ,483
 Netherlands|Latin America and the Caribbean,484
Latin America and the Caribbean|North America|Oceania and the Pacific ,485
 Chiapas,486
 Norway|Europe ,487
 Sweden,488
 United Kingdom of Great Britain and Northern Ireland ,489
 England ,490
 London,491
 Tyumen',492
 Mauritius|Africa ,493
 Senegal ,494
 Dakar,495
 Perm Krai ,496
 Solikamsk,497
 Nîmes|Europe ,498
 Languedoc-Roussillon ,499
 Béziers|Europe ,500
 Spain ,501
 Andalucía ,502
 Seville,503
 Tunisia ,504
 Tunis,505
 Singapore,506
" Tanzania, United Republic of ",507
 Dar es Salaam,508
 South Africa ,509
 Kimberley,510
 Viet Nam ,511
 Thanh Pho-Ho Chi Minh ,512
 Thành Phố Hồ Chí Minh,513
 Zanzibar Urban/West ,514
 Zanzibar,515
 Zimbabwe,516
 Zambia|Africa ,517
 Zimbabwe ,518
 Bulawayo,519
 Matabeleland North,520
 Saudi Arabia ,521
 Makkah ,522
 Mecca,523
" Karelia, Republic of",524
 Western Cape,525
 Samoa,526
 Kwazulu-Natal ,527
 Pietermaritzburg,528
 Istanbul,529
 Sudan|Europe ,530
 United Kingdom of Great Britain and Northern Ireland|Middle East and North Africa ,531
 Venezuela (Bolivarian Republic of) ,532
 Caracas,533
 Switzerland ,534
 Geneva,535
 Lucerne,536
 Tajikistan,537
Europe|Europe ,538
 Rhineland Palatinate ,539
 Mainz,540
 Tajikistan ,541
 Sughd ,542
 Khujand,543
 Turkmenistan ,544
 Mary ,545
 Bayramaly,546
 Iolotan',547
 Farab,548
 Uzbekistan ,549
 Buxoro Viloyati ,550
 Bukhara,551
 Crimea ,552
 Alupka,553
 Crimea,554
 Samarqand Viloyati ,555
 Samarkand,556
 Grenada|North America ,557
 Saint Kitts and Nevis,558
 Scotland,559
 Andorra|Europe ,560
 San Marino,561
 Antigua and Barbuda ,562
 Saint John,563
 Bosnia and Herzegovina,564
 Botswana|Africa ,565
 South Africa|Africa ,566
 Burkina Faso,567
 Cameroon,568
 Cape Verde|Africa ,569
 Gambia|Africa ,570
 Senegal|Europe ,571
 Canary Islands,572
 Central African Republic|Africa ,573
 Chad ,574
 Ouaddaï|Africa ,575
 Niger|Africa ,576
 Nigeria|Africa ,577
 Sudan,578
 Côte d’Ivoire,579
 Czech Republic|Europe ,580
 Slovakia|North America ,581
 Djibouti,582
 St. John,583
 Antigua and Barbuda,584
 Eritrea|Africa ,585
 Senegal,586
 Ghana,587
 Guinea|Europe ,588
 Guinea-Bissau,589
 Tétouan,590
 Lesotho,591
 Cherdynʹ,592
 Luxembourg,593
 Malawi,594
 Madagascar|Central and South Asia ,595
 Maldives|Central and South Asia ,596
 Sri Lanka|East Asia ,597
 Malaysia|Southeast Asia ,598
 Moldova|Europe ,599
 Odes'ka Oblast,600
 Monaco,601
 Namibia,602
 Bosnia and Herzegovina ,603
 Jajce,604
 Nigeria ,605
 Ogun ,606
 Abeokuta,607
 Sør-Trøndelag ,608
 Trondheim,609
 Trinidad and Tobago,610
 Barbados|Latin America and the Caribbean ,611
 Saint Lucia|Latin America and the Caribbean ,612
 Saint Vincent and the Grenadines,613
 Montenegro ,614
 Cetinje,615
 Slovenia ,616
 Carniola,617
 Somalia,618
 Swaziland,619
 Ghana|Africa ,620
 Togo,621
 American Samoa|Oceania and the Pacific ,622
 Marshall Islands,623
 Micronesia (Federated States of),624
 Poland,625
 Belarus|Europe ,626
 Lithuania|Europe ,627
 Leningrad Oblast,628
 Saint Petersburg ,629
 Saint Petersburg,630
 Estonia,631
 Latvia,632
 Kursk Oblast|Europe ,633
 Voronezh Oblast,634
 Vladimir Oblast,635
 Penza Oblast,636
 Kirov Oblast,637
 Orenburg Oblast,638
 Ryazan Oblast,639
 Kaluga Oblast,640
 Oryol Oblast,641
 Samara Oblast,642
 Saratov Oblast,643
" Tatarstan, Republic of",644
 Nizhny Novgorod Oblast,645
 Kostroma Oblast,646
 Krasnodar Krai,647
 Yaroslavl Oblast,648
 Stavropol Krai,649
 Azerbaijan,650
 Russian Federation|Middle East and North Africa ,651
" Dagestan, Republic of|Middle East and North Africa ",652
 Smolensk Oblast,653
 Novgorod Oblast,654
 Pskov Oblast,655
 Tver Oblast,656
 Ulyanovsk Oblast,657
 Tambov Oblast,658
 Tula Oblast,659
 Moscow Oblast,660
 Perm Krai,661
 Taiwan ,662
 Taipei,663
 Bahia|Latin America and the Caribbean ,664
 Pernambuco,665
 Rondônia,666
 Rio de Janeiro|Latin America and the Caribbean ,667
 Santa Catarina,668
