pub_key,Publisher
pub_1,unknown
pub_2,Harimaya Katsugorō
pub_3,Dutch West India Company
pub_4,Tobias Conrad Lotter
pub_5,American Press Association
pub_6,Association of R. Golik and A. Vil'borg
pub_7,U.S. Government Printing Office
pub_8,American Philosophical Society
pub_9,Robert Wilkinson
pub_10,Printed and sold by Nathaniel Patten
pub_11,Robert Sayer and John Bennett
pub_12,D. Appleton and Company
pub_13,Anton Sorg
pub_14,Hieronymus Cock
pub_15,American Mutoscope and Biograph Company
pub_16,"Mariette, Pierre, 1603-1657|Sumptibus Petri Mariette Lutetiae"
pub_17,"Chez Daniel de la Feuille, marchand librarie, proche de la Bourse"
pub_18,Rand McNally and Company
pub_19,J.B. Metzler'schen Buchhandlung
pub_20,Kartographische Abtheilung der Königl. Preuss. Landes-Aufnahme.
pub_21,William Caxton
pub_22,John Tallis & Company
pub_23,A. Fullarton & Co.
pub_24,R. Chapelot et Cie.
pub_25,Jan Barend Elwe
pub_26,l'Histoire Universette d'une Societé de Gens de Lettres
pub_27,Charles Simonneau
pub_28,Adrien Hubert Brué
pub_29,Pierre Mariette
pub_30,J. Lebègue & Cie.
pub_31,United Fruit Company
pub_32,A. Hartleben's Verlag
pub_33,Aaron Arrowsmith
pub_34,J.H. Colton & Company
pub_35,Ramon Abreu
pub_36,Beauplan
pub_37,C. L. F. Panckoucke
pub_38,United States Office of War Information Overseas Picture Division
pub_39,"Thomas A. Edison, Inc."
pub_40,Stephan Plannck
pub_41,American Geographical Society of New York
pub_42,Synodal Press
pub_43,Royal Geographical Society
pub_44,Military Topographical Depot
pub_45,Siberian Branch of the Russian Geographic Society
pub_46,Société de géographie
pub_47,Association of Art Press
pub_48,Bradford and Inskeep
pub_49,Printed by John Dunlap
pub_50,Hermond Norwood
pub_51,Printed by Clementina Rind
pub_52,Chez Basset
pub_53,"""Transreklama"" NKPS"
pub_54,Central Scientific-Research Geological-Prospecting Institute
pub_55,Rossiĭskai︠a︡ akademii︠a︡ nauk
pub_56,Publication of the Siberian Regional Agricultural Administration
pub_57,Geograficheskii Departament
pub_58,Pinelli
pub_59,"Nicolas de Fer, Geographe de sa Majesté Catolique"
pub_60,Chez Remondini
pub_61,Deccan Printing Works
pub_62,S. Augustus Mitchell
pub_63,Robert Sayer
pub_64,United States Hydrographical Office
pub_65,Anthony Finley
pub_66,D. Browne
pub_67,John Haven
pub_68,Gidrograficheskyi Departament Morskogo Ministerstva
pub_69,J. Wilkes
pub_70,Detroit Publishing Company
pub_71,Philippus Eckebrecht
pub_72,"La Haye, H. Scheurleer"
pub_73,Compagnie belge de colonisation
pub_74,Joan Blaeu
pub_75,Nicolaes Visscher
pub_76,Bormay & Co.
pub_77,Homann Erben
pub_78,Glavnoe upravlenie geodezii i kartografii
pub_79,Printing-House of Semen Selivanovskii
pub_80,Printed by W. Blake
pub_81,Khar'kov Society for the Expansion of Literacy
pub_82,J.B. Lippincott and Co.
pub_83,Directorate General of Antiquities
pub_84,Paul Revere
pub_85,C. Scribner's Sons
pub_86,E.H. Schroeder
