Subject,subject_id
"Antietam, Battle of, Maryland, 1862",0
Generals,1
"Lincoln, Abraham, 1809-1865",2
"McClernand, John A. (John Alexander), 1812-1900",3
Military camps,4
"Pinkerton, Allan, 1819-1884",5
Presidents,6
Tents,7
"United States--History--Civil War, 1861-1865",8
United States. Army,9
Portrait photographs,10
Women,11
Actors,12
Costumes,13
Japanese drama,14
Portrait prints,15
Ukiyo-e,16
Warriors,17
Woodcuts,18
Rivers,19
Manuscript maps,20
World maps,21
Brothels,22
Courtesans,23
"Kato, Kiyomasa",24
Diptychs,25
Priests,26
Saigyo,27
Canaries,28
Peonies,29
Civil rights,30
Civil rights demonstrations,31
Feminism,32
Parades and processions,33
Protest movements,34
Suffragists,35
Votes for women,36
Women's suffrage,37
Dolls,38
Eating and drinking,39
Holidays,40
Rites and ceremonies,41
"Jefferson, Thomas, 1743-1826",42
Portraits,43
Architectural drawings,44
Capitols,45
Watercolors,46
Armies,47
Battles,48
Meeting of Frontiers,49
"Russo-Japanese War, 1904-1905",50
"Iwo Jima, Battle of, Japan, 1945",51
War bonds and funds,52
War posters,53
"World War, 1939-1945",54
Gulf Stream,55
Nautical charts,56
North Atlantic Ocean,57
Caribbean Area,58
West Indies,59
"Cook, James, 1728-1779",60
Exploration and encounters,61
Northwest Passage,62
Voyages around the world,63
Atlantic Coast (North America),64
Maritime Provinces,65
Amur River (China and Russia),66
Description and travel,67
Siberia,68
Aesop’s fables,69
"Fables, German",70
"Fables, Greek",71
"Fables, Latin",72
Baseball,73
Baseball players,74
Brooklyn Dodgers (Baseball team),75
"Robinson, Jackie",76
Arabic calligraphy,77
Arabic manuscripts,78
Islamic law,79
Islamic manuscripts,80
Muslim children -- Conduct of life,81
Muslim women -- Social conditions,82
Muslims,83
Songhai Empire,84
Timbuktu manuscripts,85
Social matters,86
Western Hemisphere,87
Amusement parks,88
Circus,89
Round buildings,90
Actuality,91
Docks and ports,92
Ellis Island Immigration Station (New York and New Jersey),93
Emigration and immigration,94
Harbors,95
Islands,96
Ports of entry,97
Cities and towns,98
"Spanish Succession, War of, 1701-1714",99
Balkan Peninsula,100
"Europe, Central",101
"Europe, Eastern",102
Batteries (Weaponry),103
Forts and fortifications,104
Memory of the World,105
"Naval Revolt, 1893-1895",106
"German Expedition to China, 1900-1901",107
Chivalry,108
Incunabula,109
Knights and knighthood,110
Manners and customs,111
Boundaries,112
"Wilson, Woodrow, 1856-1924",113
Territories and possessions,114
"Napoleonic Wars, 1800-1815",115
"Magellan, Strait of (Chile and Argentina)",116
Arabian Peninsula,117
Cathedrals,118
Orthodox churches,119
Slides,120
"Architecture, Baroque",121
Bell towers,122
Neoclassicism (Architecture),123
Onion domes,124
"Telegraph, Wireless",125
Transportation,126
"Africa, Central",127
Dwellings,128
Living quarters,129
Chukchi Peninsula (Russia),130
Houses,131
International migration and colonization,132
Panoramic views,133
"Eu, Luis Filipe Maria Fernando Gastão de Orleans, Conde D', 1842-1922",134
Group portraits,135
Military officers,136
"Paraguayan War, 1865-1870",137
Orthography and spelling,138
Spanish language,139
Textbooks,140
Antiquities,141
Architecture,142
Art,143
Hieroglyphics,144
Material culture,145
"Napoleon I, Emperor of the French, 1769-1821",146
Ruins,147
Sculpture,148
Temples,149
Depressions--1929--United States,150
Droughts--United States--1930-1940,151
Families,152
Migrant agricultural laborers,153
Mothers and children,154
Poor persons,155
Catholic Church -- Catechisms,156
Tagalog language -- Alphabet,157
Laundry,158
Red Sea,159
Ferries,160
Wrestlers,161
"Columbus, Christopher",162
Hispaniola,163
Indians of the West Indies,164
Indigenous peoples,165
Ethnography,166
Bible,167
Bible. New Testament,168
Indians of North America,169
Missionaries,170
Russian Orthodox Church,171
Expeditions and surveys,172
"Shackleton, Ernest Henry, Sir, 1874-1922",173
Ethnology,174
Explorers,175
Voyages and travels,176
Sahara,177
Trade routes,178
Guidebooks,179
Railroads,180
Trans-Siberian Railroad,181
Illuminations,182
Islamic calligraphy,183
Prayers,184
Buddhist architecture,185
"Monasteries, Buddhist",186
Mezzotints,187
"Washington, George, 1732-1799",188
Aztecs,189
Fruit trees,190
Indians of Mexico,191
Mesoamerica,192
Pictorial maps,193
Real property,194
"Clark, William, 1770-1838",195
Columbia River,196
Lewis and Clark Expedition (1804-1806),197
"Lewis, Meriwether, 1774-1809",198
Missouri River,199
West (United States),200
Astronomy,201
Calendars,202
Guo Shoujing,203
Autonomy,204
Broadsides,205
"Dunlap, John, 1747-1812",206
United States -- Declaration of Independence,207
African American men,208
Credit--Management,209
Slavery,210
"Isabel, Princess of Brazil, 1846-1921",211
Dreams,212
Balances,213
Weights,214
Buddhist temples,215
Great Britain--Colonies,216
Politics and government,217
Board games,218
"France -- History -- Revolution, 1789-1799",219
Nationalism,220
Bering Sea,221
"Baikal, Lake (Russia)",222
Lakes and ponds,223
Groundwater,224
Hydrogeology,225
Mountains,226
Agriculture,227
Clothing and dress,228
Interiors,229
Coruña Bay (Spain),230
Ferrol Bay (Spain),231
Bible. Old Testament,232
Palestine,233
Diamond mines and mining,234
Slave labor,235
Northeastern Brazil,236
"Acuña, Cristóbal de",237
Amazon River,238
Banks and banking,239
Economic conditions,240
"Statue of Liberty (New York, New York)",241
"World War, 1914-1918",242
"Africa, West",243
Dead Sea (Israel and Jordan),244
Jordan River Valley,245
Central America,246
Pacific Ocean,247
Canals,248
Monasteries,249
Velhas River,250
Markets,251
Merchants,252
"Mulberry Street (New York, New York)",253
Peddlers,254
Stores and shops,255
Street scenes,256
Street vendors,257
Nasta'liq script,258
"Narváez, Pánfilo de, died 1528",259
"Núñez Cabeza de Vaca, Alvar, 1490-1560",260
Bicycles,261
"Broadway (New York, New York)",262
Horse-drawn vehicles,263
Police,264
Police horses,265
Amazon River region,266
Animals,267
Indians of South America,268
Netherlands--Colonies,269
Orinoco River (Venezuela and Colombia),270
"Raleigh, Walter, Sir, 1552?-1618",271
Naxi manuscripts,272
Rituals,273
Shamanism,274
Lithographs,275
Osceola,276
Seminole Indians,277
Ethnic groups,278
Panama Canal,279
Plazas,280
Weddings,281
Great Lakes Region (North America),282
New France,283
Guanabara Bay (Brazil),284
Coasts,285
Uruguay River,286
New Spain,287
Spain--Colonies,288
Economics,289
Omaha Indians,290
Omaha pow-wow,291
Natural history,292
Hospitals,293
Islamic philosophy,294
Caricatures and cartoons,295
Human figure in art,296
Creation,297
Fall of man,298
Poetry,299
Colonial America,300
"Drake, Francis, Sir, 1540?-1596",301
"Military operations, Naval",302
Ships,303
Soldiers,304
Villages,305
Immigrants,306
Factories,307
Girls,308
Mills,309
Textile industry,310
Textile machinery,311
Textile mill workers,312
Thread,313
Farmers,314
Migrants,315
Kings and rulers,316
"Teresa Cristina Maria, Empress and Consort of Pedro II, Emperor of Brazil, 1822-1889",317
Madeira River (Brazil and Bolivia),318
Mojo Indians,319
Archaeological sites,320
Archaeology,321
Seven Years' War (1756-63),322
Army of the Revolution,323
"Attucks, Crispus",324
"Boston Massacre, 1770",325
Great Britain. Army,326
Uniforms,327
"United States -- History -- Revolution, 1775-1783",328
Roosevelt River (Brazil),329
"Roosevelt, Theodore, 1858-1919",330
Zoology,331
Slaves--Social life and customs,332
Library of Congress Afghanistan Project,333
Aerial views,334
Islamic poetry,335
Persian poetry,336
Competition drawings,337
Landscape architecture drawings,338
Monuments and memorials,339
"Vietnam War, 1961-1975",340
Children,341
Earthquakes,342
Canton,343
Historical geography,344
Jesuits,345
Huts,346
Tribal chiefs,347
Zulu (African people),348
Albanians,349
Knitting,350
Oxen,351
Wagons,352
Miniatures (Illuminations),353
Psalms,354
Psalters,355
Diaries,356
Zambezi River,357
Mines and mineral resources,358
Rio de la Plata (Argentina and Uruguay),359
San Ramón de la Nueva Orán Region (Argentina),360
Dogs,361
Gauchos,362
Horses,363
Swords,364
Buses,365
Country life,366
Caucasus,367
Ethnographic photographs,368
Parks,369
Armenians,370
Recruiting and enlistment,371
Swimming,372
Win the War League,373
Kangaroos,374
Sheep,375
Charity,376
Coins,377
Altars,378
Amputees,379
Disabled veterans,380
Harvesting,381
Books of hours,382
"Antilles, Lesser",383
Apalachee Indians,384
Carib Indians,385
Carib language,386
Wooden buildings,387
Bridges,388
Western Dvina River,389
Boats,390
Waterfronts,391
Croplands,392
Iconostases,393
Dams,394
Polot River,395
"Aprilov, Vasil Evstatiev, 1789-1847",396
Education,397
"Ierofei, Ieromonakh, Gabrovets",398
"Īovchev, Teodosii Petrov, died around 1831",399
"Ivanov, Petr, Gabrovets",400
Schools,401
"Silvestrii Penu, Diedo, born 1786",402
"Vrazhilov, Petr Ivanov, died around 1852",403
Wills,404
Court records,405
Courts,406
