col,collection
col_1,Non-Collection
col_2,Frank and Frances Carpenter Collection
col_3,Japanese Prints and Drawings Collection
col_4,Henry Harrisse Collection
col_5,United States History
col_6,American Imprint Collection
col_7,Geographic Card Set of the Russian Empire
col_8,Lessing J. Rosenwald Collection
col_9,William C. Brumfield Photograph Collection
col_10,Paper Print Collection
col_11,Thereza Christina Maria Collection
col_12,World War I
col_13,World History
col_14,Great Siberian Railway Guidebooks
col_15,Thomas Jefferson Library Collection
col_16,Chinese Rare Book Collection
col_17,Pre-1801 Imprint Collection
col_18,Hans and Hanni Kraus Sir Francis Drake Collection
col_19,Detroit Publishing Company Photograph Collection
col_20,Naxi Collection
col_21,Illuminated Manuscripts from Europe
col_22,"Views in the Caucasus and Black Sea Area, Russian Empire"
col_23,World War I Posters
col_24,"Views of the Napoleonic Campaign Area, Russian Empire"
col_25,Early Bulgarian Imprint Collection
col_26,Legal Acts of the Grand Duchy of Lithuania 1522-1845
col_27,Rubbings of Inscriptions on Metal and Stone
col_28,George Grantham Bain Collection
col_29,Views of the Austro-Hungarian Empire
col_30,Juvenile Collection
col_31,"Geographical Atlas of the Russian Empire, the Kingdom of Poland, and the Grand Duchy of Finland"
col_32,"Various Views and Studies, Russian Empire and Europe"
col_33,Cinémathèque française Collection
col_34,Maggs Purchase Map Collection
col_35,"Relaciones Geográficas of Mexico and Guatemala, 1577-1585, Joaquín García Icazbalceta Manuscript Collection"
col_36,Visual Materials from the Papers of John D. Whiting
col_37,"Views in Central Asia, Russian Empire"
col_38,American Colonization Society Map Collection
col_39,Islamic Manuscripts from Mali
col_40,Works of the Provisional Canalization of the São Pedro River
col_41,Jay I. Kislak Collection
col_42,Arabic and Islamic Science and Its Influence on the Western Scientific Tradition: Historical and Political Background
col_43,Images from the Turkestan Album: Historical Part
col_44,African Section Pamphlet Collection
col_45,Landscape and Marine Views of Norway
col_46,Views of Montenegro
col_47,Taipei During the Japanese Occupation Period
col_48,Japanese Rare Book Collection
col_49,The Siege of Paris: 1870–1871
col_50,Views of Petrópolis
col_51,"Minas and Rio Railway, Brazil"
col_52,"Paranaguá to Curitiba Railway, Brazil"
col_53,The Photographic Album
col_54,"The Brazilian Astronomical Commission: Transit of Venus on December 6, 1882"
col_55,"Russian Scientific-Commercial Expedition to China, 1874-75"
col_56,Peace Handbooks
col_57,"Selections of Arabic, Persian and Ottoman Calligraphy"
col_58,G. Eric and Edith Matson Photograph Collection
col_59,Views of People and Sites in Algeria
col_60,Arabic and Islamic Science and Its Influence on the Western Scientific Tradition: Astronomy
col_61,Arabic and Islamic Science and Its Influence on the Western Scientific Tradition: Mathematics
col_62,Abdul-Hamid II Collection
col_63,Views of Architecture and People in Tunisia
col_64,Images from the Turkestan Album: Ethnographic Part
col_65,Images from the Turkestan Album
col_66,"Views of Architecture and Other Sites in Copenhagen, Denmark"
col_67,"Views of Belgrade, Serbia"
col_68,Landscape and Marine Views of Norway and Sweden
col_69,Views of Germany
col_70,The Eran Laor Cartographic Collection
col_71,Columbus Memorial Library (OAS) Photograph Collection
col_72,Bašagic's Collection of Islamic Manuscripts
col_73,"Ansel Adams Photographs of National Parks and Monuments, 1941-1942"
col_74,"Photographic Prints Documenting Programs and Activities of the Bureau of Agricultural Economics and Predecessor Agencies, Compiled ca. 1922 - ca. 1947"
col_75,"Documeria: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern, Compiled 1972-1977"
col_76,Arabic and Islamic Science and Its Influence on the Western Scientific Tradition: Technology
col_77,Anne S.K. Brown Military Collection
col_78,Woodhouse Rock Art Collection
col_79,Van der Waal Collection
