Creator,item_id,type,creator_id
"Gardner, Alexander, 1821-1882",0,Photographer,0
"Vargas, Max T., 1874–1959",1,Photographer,1
"Sandberg, Bob",27,Photographer,2
"Brumfield, William Craft, 1944-",31,Photographer,3
"Ferrez, Marc, 1843-1923",41,Photographer,4
"Brumfield, William Craft, 1944-",58,Photographer,5
"Brumfield, William Craft, 1944-",59,Photographer,6
"Brumfield, William Craft, 1944-",62,Photographer,7
"Dietze, Albert Richard, flourished 1869",69,Photographer,8
"Dietze, Albert Richard, flourished 1869",70,Photographer,9
"Dietze, Albert Richard, flourished 1869",72,Photographer,10
"Lange, Dorothea, 1895-1965",77,Photographer,11
"Brumfield, William Craft, 1944-",79,Photographer,12
"Moura, Miguel de",84,Photographer,13
"Brumfield, William Craft, 1944-",99,Photographer,14
"Brumfield, William Craft, 1944-",107,Photographer,15
"Pacheco, Joaquim José Insley, 1830-1912",108,Photographer,16
"Brumfield, William Craft, 1944-",112,Photographer,17
"Brumfield, William Craft, 1944-",129,Photographer,18
"Riedel, Augusto, 1836-1877?",133,Photographer,19
"Brumfield, William Craft, 1944-",150,Photographer,20
"Brumfield, William Craft, 1944-",151,Photographer,21
"Riis, Jacob A. (Jacob August), 1849-1914",153,Photographer,22
"Brumfield, William Craft, 1944-",156,Photographer,23
"Silva, Arsenio da",179,Photographer,24
"Ferrez, Marc, 1843-1923",189,Photographer,25
"Hine, Lewis Wickes, 1874-1940",200,Photographer,26
"Pacheco, Joaquim José Insley, 1830-1912",203,Photographer,27
"Roosevelt, Kermit, 1889-1943",209,Photographer,28
Moody,234,Photographer,29
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",235,Photographer,30
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",236,Photographer,31
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",237,Photographer,32
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",248,Photographer,33
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",249,Photographer,34
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",250,Photographer,35
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",251,Photographer,36
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",253,Photographer,37
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",254,Photographer,38
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",255,Photographer,39
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",256,Photographer,40
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",257,Photographer,41
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",295,Photographer,42
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",296,Photographer,43
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",297,Photographer,44
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",298,Photographer,45
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",299,Photographer,46
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",300,Photographer,47
"Jackson, William Henry, 1843-1942",322,Photographer,48
"Jackson, William Henry, 1843-1942",323,Photographer,49
"Jackson, William Henry, 1843-1942",324,Photographer,50
"Sébah, Pascal",325,Photographer,51
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",338,Photographer,52
"Brumfield, William Craft, 1944-",348,Photographer,53
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",349,Photographer,54
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",350,Photographer,55
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",351,Photographer,56
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",352,Photographer,57
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",353,Photographer,58
"Carpenter, Frank G. (Frank George), 1855-1924",364,Photographer,59
American Colony in Jerusalem,403,Photographer,60
American Colony in Jerusalem,404,Photographer,61
American Colony in Jerusalem,405,Photographer,62
American Colony in Jerusalem,406,Photographer,63
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",407,Photographer,64
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",408,Photographer,65
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",409,Photographer,66
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",410,Photographer,67
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",411,Photographer,68
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",412,Photographer,69
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",413,Photographer,70
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",414,Photographer,71
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",415,Photographer,72
"Holmes, Burton, 1870-1958",420,Photographer,73
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",422,Photographer,74
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",423,Photographer,75
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",424,Photographer,76
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",425,Photographer,77
Publishers Photo Service,431,Photographer,78
Publishers Photo Service,432,Photographer,79
"Bushemi, John",435,Photographer,80
"Brumfield, William Craft, 1944-",441,Photographer,81
"Genthe, Arnold, 1869-1942",464,Photographer,82
"Vargas, Max T., 1874–1959",473,Photographer,83
"Waite, C. B. (Charles Betts), 1861-1927",478,Photographer,84
"Brumfield, William Craft, 1944-",479,Photographer,85
"Jackson, William Henry, 1843-1942",480,Photographer,86
"Brumfield, William Craft, 1944-",482,Photographer,87
"Ferrez, Marc, 1843-1923",491,Photographer,88
"Brumfield, William Craft, 1944-",501,Photographer,89
"Brumfield, William Craft, 1944-",509,Photographer,90
"Brumfield, William Craft, 1944-",510,Photographer,91
"Brumfield, William Craft, 1944-",511,Photographer,92
"Brumfield, William Craft, 1944-",512,Photographer,93
"Brumfield, William Craft, 1944-",515,Photographer,94
Neurdein Frères,517,Photographer,95
"Santos, E. M.",519,Photographer,96
"Brumfield, William Craft, 1944-",523,Photographer,97
"Hancox, F. H.",524,Photographer,98
"Vincenti, Carl von",526,Photographer,99
G.R. Lambert & Co,535,Photographer,100
"Ferrez, Marc, 1843-1923",537,Photographer,101
"ʻAbd al-Ghaffār, al-Sayyid, Physician of Mecca",538,Photographer,102
S.C.T.,545,Photographer,103
Near East Relief Mission,549,Photographer,104
"Carpenter, Frank G. (Frank George), 1855-1924",550,Photographer,105
Sebah & Joaillier,562,Photographer,106
"Bogaevskii, Nikolai V., 1843-1912",564,Photographer,107
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",573,Photographer,108
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",574,Photographer,109
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",575,Photographer,110
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",576,Photographer,111
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",577,Photographer,112
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",578,Photographer,113
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",579,Photographer,114
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",580,Photographer,115
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",581,Photographer,116
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",582,Photographer,117
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",583,Photographer,118
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",584,Photographer,119
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",585,Photographer,120
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",586,Photographer,121
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",587,Photographer,122
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",588,Photographer,123
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",589,Photographer,124
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",590,Photographer,125
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",591,Photographer,126
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",592,Photographer,127
"Prokudin-Gorskii, Sergei Mikhailovich, 1863-1944",593,Photographer,128
"Brumfield, William Craft, 1944-",614,Photographer,129
"Benaboud, Mhammad",628,Photographer,130
"Brumfield, William Craft, 1944-",631,Photographer,131
"Moron, Juan",643,Photographer,132
"Lergetporer, Benedikt",648,Photographer,133
"Moron, Juan",653,Photographer,134
"Benaboud, Mhammad",656,Photographer,135
"Tattersall, A.J., born 1861",659,Photographer,136
"Tattersall, A.J., born 1861",660,Photographer,137
United States. Army Air Forces,662,Photographer,138
United States. Army Air Forces,663,Photographer,139
"Brumfield, William Craft, 1944-",665,Photographer,140
"Brumfield, William Craft, 1944-",753,Photographer,141
"Brumfield, William Craft, 1944-",767,Photographer,142
"Brumfield, William Craft, 1944-",777,Photographer,143
"Ferrez, Marc, 1843-1923",782,Photographer,144
"Brumfield, William Craft, 1944-",791,Photographer,145
"Brumfield, William Craft, 1944-",795,Photographer,146
"Brumfield, William Craft, 1944-",797,Photographer,147
"Brumfield, William Craft, 1944-",805,Photographer,148
"Brumfield, William Craft, 1944-",810,Photographer,149
"Brumfield, William Craft, 1944-",822,Photographer,150
"Brumfield, William Craft, 1944-",824,Photographer,151
"Braquehais, Bruno, 1823-1875",825,Photographer,152
"Braquehais, Bruno, 1823-1875",826,Photographer,153
"Braquehais, Bruno, 1823-1875",827,Photographer,154
"Braquehais, Bruno, 1823-1875",828,Photographer,155
"Braquehais, Bruno, 1823-1875",829,Photographer,156
"Braquehais, Bruno, 1823-1875",830,Photographer,157
"Braquehais, Bruno, 1823-1875",831,Photographer,158
"Braquehais, Bruno, 1823-1875",832,Photographer,159
"Braquehais, Bruno, 1823-1875",833,Photographer,160
"Braquehais, Bruno, 1823-1875",834,Photographer,161
"Braquehais, Bruno, 1823-1875",835,Photographer,162
"Braquehais, Bruno, 1823-1875",836,Photographer,163
"Braquehais, Bruno, 1823-1875",837,Photographer,164
"Braquehais, Bruno, 1823-1875",838,Photographer,165
"Braquehais, Bruno, 1823-1875",839,Photographer,166
"Braquehais, Bruno, 1823-1875",840,Photographer,167
"Braquehais, Bruno, 1823-1875",841,Photographer,168
"Braquehais, Bruno, 1823-1875",842,Photographer,169
"Braquehais, Bruno, 1823-1875",843,Photographer,170
"Braquehais, Bruno, 1823-1875",844,Photographer,171
"Braquehais, Bruno, 1823-1875",845,Photographer,172
"Braquehais, Bruno, 1823-1875",846,Photographer,173
"Braquehais, Bruno, 1823-1875",847,Photographer,174
"Braquehais, Bruno, 1823-1875",848,Photographer,175
"Braquehais, Bruno, 1823-1875",849,Photographer,176
"Braquehais, Bruno, 1823-1875",850,Photographer,177
"Braquehais, Bruno, 1823-1875",851,Photographer,178
"Braquehais, Bruno, 1823-1875",852,Photographer,179
"Braquehais, Bruno, 1823-1875",853,Photographer,180
"Braquehais, Bruno, 1823-1875",854,Photographer,181
"Braquehais, Bruno, 1823-1875",855,Photographer,182
"Braquehais, Bruno, 1823-1875",856,Photographer,183
"Braquehais, Bruno, 1823-1875",857,Photographer,184
"Braquehais, Bruno, 1823-1875",858,Photographer,185
"Braquehais, Bruno, 1823-1875",859,Photographer,186
"Braquehais, Bruno, 1823-1875",860,Photographer,187
"Braquehais, Bruno, 1823-1875",861,Photographer,188
"Braquehais, Bruno, 1823-1875",862,Photographer,189
"Braquehais, Bruno, 1823-1875",863,Photographer,190
"Braquehais, Bruno, 1823-1875",864,Photographer,191
"Braquehais, Bruno, 1823-1875",865,Photographer,192
"Braquehais, Bruno, 1823-1875",866,Photographer,193
"Braquehais, Bruno, 1823-1875",867,Photographer,194
"Braquehais, Bruno, 1823-1875",868,Photographer,195
"Braquehais, Bruno, 1823-1875",869,Photographer,196
"Braquehais, Bruno, 1823-1875",870,Photographer,197
"Braquehais, Bruno, 1823-1875",871,Photographer,198
"Braquehais, Bruno, 1823-1875",872,Photographer,199
"Braquehais, Bruno, 1823-1875",873,Photographer,200
"Braquehais, Bruno, 1823-1875",874,Photographer,201
"Braquehais, Bruno, 1823-1875",875,Photographer,202
"Braquehais, Bruno, 1823-1875",876,Photographer,203
"Braquehais, Bruno, 1823-1875",877,Photographer,204
"Braquehais, Bruno, 1823-1875",878,Photographer,205
"Braquehais, Bruno, 1823-1875",879,Photographer,206
"Braquehais, Bruno, 1823-1875",880,Photographer,207
"Braquehais, Bruno, 1823-1875",881,Photographer,208
"Braquehais, Bruno, 1823-1875",882,Photographer,209
"Braquehais, Bruno, 1823-1875",883,Photographer,210
"Braquehais, Bruno, 1823-1875",884,Photographer,211
"Braquehais, Bruno, 1823-1875",885,Photographer,212
"Braquehais, Bruno, 1823-1875",886,Photographer,213
"Braquehais, Bruno, 1823-1875",887,Photographer,214
"Braquehais, Bruno, 1823-1875",888,Photographer,215
