Lang,item_id,lang_id
Japanese,2,0
Japanese,3,1
Spanish,4,2
Dutch,5,3
Latin,6,4
Japanese,7,5
Japanese,8,6
Japanese,9,7
Japanese,10,8
English,11,9
Japanese,12,10
English,15,11
Russian,16,12
English,17,13
English,18,14
English,19,15
Portuguese,20,16
English,21,17
English,22,18
English,23,19
English,24,20
Russian,25,21
German,26,22
English,27,23
Arabic,28,24
Arabic,29,25
Latin,30,26
Russian,32,27
Arabic,34,28
Latin,35,29
Russian,36,30
French,37,31
English,38,32
German,39,33
Russian,40,34
Portuguese,41,35
German,42,36
Russian,43,37
English,44,38
English,45,39
English,46,40
English,47,41
French,48,42
English,49,43
Spanish,50,44
Latin,51,45
French,52,46
French,53,47
French,54,48
French,55,49
French,56,50
French,57,51
English,60,52
German,61,53
English,63,54
German,64,55
Russian,65,56
Japanese,66,57
Russian,67,58
English,68,59
Portuguese,69,60
Portuguese,70,61
English,71,62
Portuguese,72,63
Spanish,73,64
Spanish,74,65
Latin,75,66
French,76,67
English,77,68
Spanish,78,69
English,80,70
Russian,81,71
Russian,82,72
Portuguese,84,73
Russian,85,74
English,86,75
Russian,87,76
English,88,77
English,89,78
Aleut,90,79
English,91,80
Russian,92,81
Russian,93,82
Russian,94,83
Russian,95,84
French,96,85
English,97,86
Arabic,98,87
Latin,100,88
English,101,89
Classical Nahuatl,102,90
English,103,91
Chinese,104,92
English,105,93
English,106,94
Portuguese,108,95
Arabic,109,96
Arabic,110,97
Arabic,111,98
English,113,99
French,114,100
French,115,101
Russian,116,102
Russian,117,103
Russian,118,104
Russian,119,105
Russian,120,106
Russian,121,107
Russian,122,108
Russian,123,109
Russian,124,110
Russian,125,111
Russian,126,112
Ottoman Turkish (1500-1928),127,113
English,128,114
French,130,115
English,131,116
French,132,117
French,134,118
French,135,119
French,136,120
English,137,121
French,138,122
Latin,139,123
Marathi,140,124
English,141,125
English,142,126
English,143,127
English,144,128
English,145,129
English,146,130
English,147,131
Russian,148,132
English,149,133
Portuguese,152,134
English,153,135
Persian,154,136
Aleut,155,137
Spanish,157,138
French,158,139
Dutch,160,140
Latin,161,141
French,162,142
French,163,143
Latin,164,144
Latin,165,145
Latin,166,146
Latin,167,147
Naxi,168,148
Naxi,169,149
Naxi,170,150
Naxi,171,151
Naxi,172,152
Naxi,173,153
Latin,174,154
English,175,155
Russian,176,156
Russian,177,157
English,178,158
Portuguese,179,159
French,180,160
French,181,161
Spanish,182,162
Spanish,183,163
Spanish,184,164
Russian,187,165
Omaha-Ponca,188,166
Portuguese,189,167
Russian,190,168
Russian,192,169
Arabic,193,170
Italian,194,171
English,195,172
Latin,196,173
Arabic,197,174
Russian,198,175
Russian,199,176
English,200,177
English,201,178
Chinese,202,179
Portuguese,203,180
Latin,204,181
English,205,182
English,206,183
English,207,184
English,208,185
English,209,186
Portuguese,210,187
German,211,188
Aleut,212,189
Latin,213,190
Latin,214,191
Chagatai,215,192
English,216,193
Portuguese,217,194
French,218,195
English,219,196
Chinese,220,197
Chinese,221,198
Naxi,222,199
English,223,200
English,225,201
Latin,226,202
English,227,203
Portuguese,228,204
English,229,205
Spanish,230,206
English,238,207
English,239,208
English,240,209
French,241,210
German,242,211
German,243,212
German,244,213
Latin,245,214
English,246,215
Russian,249,216
Russian,251,217
Armenian,252,218
Russian,254,219
Bulgarian,258,220
Belarusian,259,221
Belarusian,260,222
Latin,261,223
English,263,224
Belarusian,264,225
French,265,226
English,266,227
Bulgarian,267,228
Bulgarian,268,229
Bulgarian,269,230
Bulgarian,270,231
Bulgarian,271,232
French,274,233
French,275,234
English,276,235
English,277,236
Belarusian,278,237
English,279,238
Spanish,281,239
Chinese,282,240
Chinese,283,241
Chinese,284,242
Chinese,285,243
Chinese,286,244
Chinese,287,245
Chinese,288,246
Chinese,289,247
Chinese,290,248
Chinese,291,249
Chinese,292,250
Chinese,293,251
Chinese,294,252
Russian,295,253
Russian,299,254
Belarusian,301,255
Belarusian,302,256
English,303,257
French,304,258
French,305,259
Chinese,307,260
Georgian,308,261
English,309,262
Chinese,310,263
English,311,264
French,312,265
Italian,313,266
English,314,267
German,315,268
English,316,269
English,317,270
English,318,271
Belarusian,319,272
Belarusian,320,273
Belarusian,321,274
Spanish,322,275
Spanish,323,276
Spanish,324,277
Ottoman Turkish (1500-1928),325,278
English,326,279
English,327,280
English,328,281
Arabic,330,282
German,331,283
Belarusian,332,284
Belarusian,333,285
Belarusian,334,286
English,335,287
German,336,288
Belarusian,337,289
French,339,290
Latin,340,291
French,341,292
French,345,293
French,346,294
French,347,295
Latin,354,296
Latin,355,297
German,356,298
German,357,299
German,358,300
Latin,359,301
Modern Greek (1453-),360,302
French,361,303
Spanish,362,304
English,364,305
French,365,306
French,366,307
English,367,308
Belarusian,373,309
English,374,310
Belarusian,375,311
Belarusian,380,312
Spanish,381,313
English,386,314
English,388,315
Guerrero Nahuatl,392,316
Latin,393,317
Italian,394,318
Italian,395,319
French,397,320
English,398,321
Italian,399,322
Latin,400,323
Swedish,401,324
English,403,325
English,404,326
English,405,327
English,406,328
English,419,329
Eastern Huasteca Nahuatl,421,330
German,426,331
English,428,332
English,429,333
English,430,334
Hebrew,433,335
Arabic,434,336
English,435,337
English,436,338
Japanese,437,339
English,438,340
Spanish,439,341
Spanish,440,342
French,442,343
Russian,443,344
Arabic,444,345
Arabic,445,346
Arabic,446,347
Arabic,447,348
Arabic,448,349
Arabic,449,350
English,450,351
Latin,451,352
Latin,452,353
Portuguese,453,354
Spanish,454,355
English,455,356
English,456,357
German,457,358
English,458,359
French,459,360
English,460,361
Spanish,461,362
Polish,463,363
English,467,364
English,469,365
English,475,366
English,476,367
Spanish,478,368
English,481,369
Central Nahuatl,483,370
Latin,484,371
Russian,485,372
Russian,486,373
English,487,374
English,488,375
Russian,489,376
English,490,377
Russian,494,378
French,495,379
Spanish,496,380
Spanish,497,381
Dutch,498,382
French,500,383
English,502,384
French,503,385
French,504,386
Spanish,505,387
English,506,388
Spanish,507,389
English,508,390
Russian,511,391
Spanish,513,392
French,514,393
French,517,394
English,521,395
English,522,396
English,524,397
English,528,398
English,529,399
English,533,400
English,534,401
English,535,402
English,536,403
English,538,404
Russian,540,405
Russian,542,406
Modern Greek (1453-),549,407
French,551,408
English,552,409
English,553,410
English,554,411
English,555,412
English,556,413
English,557,414
English,558,415
English,559,416
English,560,417
French,562,418
Latin,563,419
Russian,564,420
French,565,421
Old French (842-ca. 1400),566,422
Old French (842-ca. 1400),567,423
Latin,568,424
Latin,569,425
Russian,570,426
Russian,571,427
Latin,572,428
Russian,575,429
English,594,430
Spanish,595,431
English,596,432
English,597,433
Latin,598,434
French,599,435
English,600,436
English,602,437
English,603,438
Hebrew,604,439
English,605,440
German,606,441
English,607,442
English,608,443
French,609,444
English,610,445
Dazaga,611,446
German,612,447
French,613,448
French,615,449
Czech,616,450
French,617,451
English,618,452
English,619,453
English,620,454
Italian,621,455
English,622,456
English,623,457
French,624,458
Portuguese,625,459
English,626,460
English,627,461
English,629,462
English,630,463
German,632,464
English,633,465
French,634,466
French,635,467
French,636,468
German,637,469
German,638,470
English,639,471
German,640,472
English,641,473
Spanish,642,474
English,644,475
English,645,476
Italian,646,477
Czech,647,478
English,649,479
English,650,480
German,652,481
French,654,482
German,655,483
Latin,657,484
English,658,485
English,659,486
English,660,487
English,661,488
English,662,489
English,663,490
English,664,491
Russian,666,492
Russian,667,493
Russian,668,494
Russian,669,495
Russian,670,496
Russian,671,497
Russian,672,498
Russian,673,499
Russian,674,500
Russian,675,501
Russian,676,502
Russian,677,503
Russian,678,504
Russian,679,505
Russian,680,506
Russian,681,507
Russian,682,508
Russian,683,509
Russian,684,510
Russian,685,511
Russian,686,512
Russian,687,513
Russian,688,514
Russian,689,515
Russian,690,516
Russian,691,517
Russian,692,518
Russian,693,519
Russian,694,520
Russian,695,521
Russian,696,522
Russian,697,523
Russian,698,524
Russian,699,525
Russian,700,526
Russian,701,527
Russian,702,528
Russian,703,529
Russian,704,530
Russian,705,531
Russian,706,532
Russian,707,533
Russian,708,534
Russian,709,535
Russian,710,536
Russian,711,537
Russian,712,538
Russian,713,539
Russian,714,540
Russian,715,541
Russian,716,542
Russian,717,543
Russian,718,544
Russian,719,545
Russian,720,546
Russian,721,547
Russian,722,548
Russian,723,549
Russian,724,550
Russian,725,551
Russian,726,552
Russian,727,553
Russian,728,554
Russian,729,555
Russian,730,556
Russian,731,557
Russian,732,558
Russian,733,559
Russian,734,560
Chinese,735,561
Japanese,736,562
Portuguese,737,563
Portuguese,738,564
Portuguese,739,565
Portuguese,740,566
Portuguese,741,567
Portuguese,742,568
Italian,743,569
Portuguese,744,570
Portuguese,745,571
Portuguese,746,572
Portuguese,747,573
Portuguese,748,574
Portuguese,749,575
Portuguese,750,576
Portuguese,751,577
Portuguese,752,578
Portuguese,754,579
Portuguese,755,580
Portuguese,756,581
Portuguese,757,582
Portuguese,758,583
Portuguese,759,584
Portuguese,760,585
Portuguese,761,586
Portuguese,762,587
Portuguese,763,588
Portuguese,764,589
Portuguese,765,590
Portuguese,766,591
Portuguese,768,592
Portuguese,769,593
Portuguese,770,594
Portuguese,771,595
Portuguese,772,596
Portuguese,773,597
Portuguese,774,598
Portuguese,775,599
Portuguese,776,600
Portuguese,778,601
Portuguese,779,602
Portuguese,780,603
Portuguese,781,604
Portuguese,783,605
Portuguese,784,606
Portuguese,785,607
Portuguese,786,608
Portuguese,787,609
Portuguese,788,610
Portuguese,789,611
Portuguese,790,612
Latin,792,613
Latin,793,614
Latin,794,615
Latin,796,616
Latin,798,617
Dutch,799,618
Latin,800,619
Latin,801,620
Latin,802,621
Latin,803,622
Latin,804,623
German,806,624
Spanish,807,625
Spanish,808,626
Spanish,809,627
Spanish,811,628
Spanish,812,629
Spanish,813,630
Spanish,814,631
Italian,815,632
French,816,633
French,817,634
French,818,635
French,819,636
French,820,637
French,821,638
Swedish,823,639
French,888,640
Portuguese,926,641
Portuguese,928,642
Portuguese,929,643
Portuguese,930,644
Portuguese,931,645
Portuguese,935,646
Portuguese,938,647
Portuguese,940,648
Portuguese,941,649
Portuguese,942,650
Portuguese,943,651
Portuguese,944,652
Portuguese,945,653
Portuguese,946,654
Portuguese,947,655
Portuguese,948,656
English,949,657
English,950,658
English,952,659
English,953,660
English,954,661
English,955,662
English,956,663
English,957,664
English,958,665
English,959,666
English,960,667
English,961,668
English,963,669
English,964,670
English,965,671
English,967,672
English,969,673
English,970,674
Portuguese,971,675
English,972,676
English,974,677
English,975,678
English,976,679
English,977,680
English,978,681
English,979,682
English,981,683
English,982,684
English,983,685
English,985,686
English,986,687
English,988,688
English,989,689
Portuguese,996,690
Portuguese,997,691
Portuguese,1006,692
Portuguese,1007,693
Portuguese,1008,694
Portuguese,1009,695
English,1012,696
English,1013,697
English,1014,698
English,1021,699
English,1024,700
English,1031,701
English,1033,702
English,1054,703
English,1055,704
English,1060,705
English,1066,706
English,1069,707
English,1070,708
English,1071,709
Portuguese,1083,710
Portuguese,1085,711
Portuguese,1086,712
Portuguese,1087,713
Portuguese,1088,714
Portuguese,1089,715
English,1090,716
English,1091,717
Portuguese,1109,718
Portuguese,1110,719
Portuguese,1111,720
Portuguese,1112,721
Portuguese,1113,722
Portuguese,1114,723
Portuguese,1115,724
Portuguese,1116,725
Portuguese,1117,726
Portuguese,1118,727
Portuguese,1135,728
Portuguese,1136,729
Portuguese,1137,730
Portuguese,1138,731
Portuguese,1139,732
English,1188,733
Portuguese,1195,734
Portuguese,1197,735
Portuguese,1198,736
Portuguese,1199,737
Portuguese,1200,738
Portuguese,1201,739
Portuguese,1202,740
Portuguese,1203,741
Portuguese,1206,742
English,1304,743
Serbo-Croatian,1306,744
Serbo-Croatian,1307,745
Serbo-Croatian,1308,746
Serbo-Croatian,1309,747
