Publisher,pub_key
unknown,pub_1
Harimaya Katsugorō,pub_2
Dutch West India Company,pub_3
Tobias Conrad Lotter,pub_4
American Press Association,pub_5
Association of R. Golik and A. Vil'borg,pub_6
U.S. Government Printing Office,pub_7
American Philosophical Society,pub_8
Robert Wilkinson,pub_9
Printed and sold by Nathaniel Patten,pub_10
Robert Sayer and John Bennett,pub_11
D. Appleton and Company,pub_12
Anton Sorg,pub_13
Hieronymus Cock,pub_14
American Mutoscope and Biograph Company,pub_15
"Mariette, Pierre, 1603-1657|Sumptibus Petri Mariette Lutetiae",pub_16
"Chez Daniel de la Feuille, marchand librarie, proche de la Bourse",pub_17
Rand McNally and Company,pub_18
J.B. Metzler'schen Buchhandlung,pub_19
Kartographische Abtheilung der Königl. Preuss. Landes-Aufnahme.,pub_20
William Caxton,pub_21
John Tallis & Company,pub_22
A. Fullarton & Co.,pub_23
R. Chapelot et Cie.,pub_24
Jan Barend Elwe,pub_25
l'Histoire Universette d'une Societé de Gens de Lettres,pub_26
Charles Simonneau,pub_27
Adrien Hubert Brué,pub_28
Pierre Mariette,pub_29
J. Lebègue & Cie.,pub_30
United Fruit Company,pub_31
A. Hartleben's Verlag,pub_32
Aaron Arrowsmith,pub_33
J.H. Colton & Company,pub_34
Ramon Abreu,pub_35
Beauplan,pub_36
C. L. F. Panckoucke,pub_37
United States Office of War Information Overseas Picture Division,pub_38
"Thomas A. Edison, Inc.",pub_39
Stephan Plannck,pub_40
American Geographical Society of New York,pub_41
Synodal Press,pub_42
Royal Geographical Society,pub_43
Military Topographical Depot,pub_44
Siberian Branch of the Russian Geographic Society,pub_45
Société de géographie,pub_46
Association of Art Press,pub_47
Bradford and Inskeep,pub_48
Printed by John Dunlap,pub_49
Hermond Norwood,pub_50
Printed by Clementina Rind,pub_51
Chez Basset,pub_52
"""Transreklama"" NKPS",pub_53
Central Scientific-Research Geological-Prospecting Institute,pub_54
Rossiĭskai︠a︡ akademii︠a︡ nauk,pub_55
Publication of the Siberian Regional Agricultural Administration,pub_56
Geograficheskii Departament,pub_57
Pinelli,pub_58
"Nicolas de Fer, Geographe de sa Majesté Catolique",pub_59
Chez Remondini,pub_60
Deccan Printing Works,pub_61
S. Augustus Mitchell,pub_62
Robert Sayer,pub_63
United States Hydrographical Office,pub_64
Anthony Finley,pub_65
D. Browne,pub_66
John Haven,pub_67
Gidrograficheskyi Departament Morskogo Ministerstva,pub_68
J. Wilkes,pub_69
Detroit Publishing Company,pub_70
Philippus Eckebrecht,pub_71
"La Haye, H. Scheurleer",pub_72
Compagnie belge de colonisation,pub_73
Joan Blaeu,pub_74
Nicolaes Visscher,pub_75
Bormay & Co.,pub_76
Homann Erben,pub_77
Glavnoe upravlenie geodezii i kartografii,pub_78
Printing-House of Semen Selivanovskii,pub_79
Printed by W. Blake,pub_80
Khar'kov Society for the Expansion of Literacy,pub_81
